Design Study 1
Scenarios/Iterations:, 128
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128
Material,,N/A,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials
SSB Offset,,N/A,0.330000,0.330025,0.330220,0.330150,0.329934,0.330115,0.329950,0.329896,0.329985,0.330034,0.329949,0.330026,0.330064,0.329907,0.330127,0.330110,0.330006,0.329866,0.329967,0.330016,0.330145,0.330151,0.330159,0.330099,0.329967,0.329913,0.330044,0.329936,0.330012,0.329950,0.329979,0.330092,0.330055,0.330108,0.329991,0.329993,0.329965,0.330023,0.330073,0.330010,0.330129,0.329987,0.330043,0.329977,0.330004,0.330039,0.330061,0.329996,0.329939,0.330025,0.330005,0.329925,0.329925,0.330035,0.329977,0.329937,0.329968,0.329930,0.330046,0.329999,0.329989,0.330024,0.330001,0.329973,0.330115,0.330005,0.330055,0.329960,0.329922,0.329955,0.330006,0.330140,0.329968,0.329946,0.330044,0.330066,0.329995,0.329847,0.329965,0.329959,0.329919,0.329885,0.330051,0.330092,0.330008,0.329990,0.330132,0.329916,0.330103,0.330044,0.329926,0.330047,0.329934,0.329930,0.329934,0.329950,0.330109,0.330105,0.330046,0.329943,0.330164,0.330056,0.330109,0.329912,0.330072,0.329965,0.330147,0.330121,0.330020,0.330076,0.330007,0.330090,0.330010,0.330174,0.330353,0.329968,0.329999,0.330017,0.329954,0.330015,0.329975,0.329753,0.330124,0.330247,0.330046,0.330014,0.330079,0.330245,0.329992
CSB Offset,,N/A,0.300000,0.350152,0.350065,0.300394,0.350079,0.349992,0.350224,0.350079,0.350000,0.350212,0.349783,0.350446,0.300224,0.349876,0.350344,0.349829,0.300224,0.349539,0.299253,0.350539,0.351457,0.350437,0.349723,0.349698,0.299857,0.350089,0.350050,0.350593,0.349689,0.349423,0.349915,0.350367,0.350084,0.349918,0.350137,0.350240,0.349923,0.349994,0.350073,0.350197,0.300020,0.349790,0.349986,0.299700,0.349660,0.349937,0.299933,0.349610,0.350265,0.350006,0.350006,0.349936,0.299429,0.349846,0.349872,0.300013,0.349689,0.300314,0.299766,0.349958,0.349998,0.350351,0.350045,0.300194,0.299968,0.349770,0.299873,0.300584,0.300330,0.350067,0.349972,0.350062,0.350420,0.350126,0.350246,0.350458,0.349846,0.350111,0.300051,0.299836,0.350188,0.350042,0.349789,0.350107,0.300135,0.350109,0.349658,0.350073,0.349967,0.299892,0.349753,0.350068,0.350102,0.349897,0.350159,0.349921,0.350106,0.349764,0.350151,0.350700,0.349805,0.349673,0.349729,0.350164,0.299370,0.350028,0.350067,0.299958,0.350138,0.349969,0.299667,0.300252,0.350074,0.300298,0.350035,0.350027,0.349903,0.350250,0.349844,0.350198,0.349962,0.300029,0.349912,0.350312,0.349826,0.350124,0.349830,0.349471,0.349956
SS Z,,N/A,0.009000,0.008939,0.008332,0.008287,0.008989,0.009754,0.008553,0.009463,0.008711,0.008006,0.008981,0.008479,0.010341,0.008886,0.009078,0.009533,0.009510,0.009569,0.008976,0.009169,0.009679,0.009313,0.008274,0.008765,0.008958,0.007963,0.008345,0.008009,0.008710,0.009359,0.009391,0.008949,0.008556,0.009560,0.009312,0.008967,0.009794,0.008767,0.009338,0.009220,0.008676,0.009317,0.009187,0.008565,0.008881,0.008955,0.008578,0.008911,0.009184,0.008356,0.009213,0.008573,0.010058,0.008520,0.008140,0.009560,0.008656,0.009225,0.009231,0.009548,0.009151,0.008536,0.009247,0.009280,0.007884,0.009032,0.009693,0.009921,0.008696,0.009205,0.008204,0.009892,0.008979,0.009770,0.007557,0.008467,0.008964,0.009137,0.009812,0.008876,0.008827,0.008199,0.008880,0.008284,0.008348,0.008510,0.008904,0.008246,0.009374,0.010845,0.008755,0.008936,0.008425,0.009098,0.009678,0.008122,0.008703,0.008173,0.008915,0.009682,0.009313,0.008458,0.009759,0.008923,0.009604,0.008861,0.008485,0.008533,0.008523,0.008719,0.008408,0.009468,0.009938,0.010078,0.007661,0.008709,0.009860,0.008543,0.009657,0.009768,0.008330,0.010287,0.008476,0.008852,0.009288,0.008946,0.008027,0.009052,0.009256
SS Thickness,,N/A,0.000799,0.002863,0.000643,0.001566,0.001526,0.003838,0.002630,0.001323,0.001748,0.000591,0.002127,0.003212,0.002582,0.003250,0.002184,0.003627,0.001595,0.001624,0.000727,0.000687,0.000439,0.001411,0.001770,0.001827,0.002764,0.003450,0.000831,0.002076,0.000959,0.002989,0.004392,0.000378,0.001350,0.003683,0.000895,0.002432,0.000162,0.002988,0.001792,0.002242,0.003372,0.002934,0.000819,0.001282,0.002306,0.001971,0.000912,0.001542,0.002388,0.001127,0.001979,0.001846,0.004528,0.001670,0.000550,0.002175,0.001085,0.000942,0.002944,0.002008,0.003067,0.000736,0.001576,0.001731,0.003222,0.001060,0.002603,0.005074,0.002203,0.000218,0.000714,0.004533,0.001452,0.002299,0.003336,0.002956,0.002155,0.004054,0.002157,0.002843,0.001798,0.000227,0.002056,0.000604,0.002636,0.001701,0.002383,0.000992,0.003893,0.002068,0.002043,0.003036,0.002540,0.002821,0.001395,0.001535,0.001860,0.001964,0.001751,0.002081,0.001440,0.004104,0.003200,0.003680,0.001403,0.001425,0.002924,0.003560,0.004327,0.000374,0.002750,0.003165,0.002569,0.001831,0.002825,0.003102,0.000852,0.000664,0.003628,0.002708,0.004275,0.002908,0.001516,0.003686,0.001467,0.000259,0.003169,0.001238,0.004464
CS Thickness,,N/A,0.002925,0.002206,0.002972,0.002616,0.003446,0.002845,0.002387,0.001552,0.001439,0.001701,0.001230,0.000548,0.002993,0.000895,0.001100,0.002625,0.000376,0.001675,0.003734,0.005775,0.000526,0.002042,0.003538,0.002990,0.003990,0.003358,0.004122,0.002413,0.003127,0.003875,0.001702,0.002311,0.002730,0.002101,0.002524,0.002038,0.000359,0.001544,0.004410,0.002964,0.001737,0.002442,0.001626,0.002272,0.001432,0.002777,0.000309,0.001891,0.002958,0.003678,0.003335,0.001626,0.004279,0.005029,0.002264,0.000440,0.000240,0.002819,0.002983,0.004245,0.002132,0.001956,0.002748,0.000885,0.003675,0.003762,0.001191,0.002437,0.002815,0.001966,0.003196,0.001556,0.001692,0.003607,0.003215,0.003090,0.005273,0.001414,0.003157,0.003891,0.000186,0.002056,0.002014,0.003304,0.003919,0.003738,0.002065,0.001226,0.001336,0.003892,0.001663,0.003171,0.000386,0.001977,0.002888,0.004004,0.001818,0.000286,0.002908,0.000081,0.002273,0.003166,0.001949,0.002309,0.001455,0.001806,0.004144,0.003047,0.002292,0.002793,0.002182,0.004743,0.000756,0.001803,0.002975,0.002123,0.002852,0.004454,0.003157,0.002111,0.002347,0.004431,0.001327,0.000106,0.003795,0.001870,0.002722,0.002884,0.002669
TT Thickness,,N/A,0.003445,0.003778,0.002416,0.001794,0.002589,0.001627,0.000539,0.002755,0.003212,0.002956,0.002013,0.001746,0.002062,0.003590,0.001769,0.002475,0.001556,0.000953,0.000693,0.002156,0.004307,0.003508,0.002309,0.002388,0.002610,0.003479,0.001803,0.003539,0.004262,0.001878,0.002604,0.003284,0.003761,0.003630,0.001450,0.000812,0.001705,0.002677,0.002545,0.004381,0.002298,0.000216,0.000629,0.002486,0.000239,0.002837,0.001673,0.002240,0.002949,0.002489,0.001663,0.000791,0.004441,0.000813,0.001582,0.000815,0.001037,0.002001,0.002627,0.000855,0.002787,0.002143,0.000756,0.003202,0.002868,0.000356,0.001054,0.002188,0.001462,0.004216,0.001165,0.000799,0.002287,0.003048,0.003665,0.001881,0.000695,0.001528,0.003635,0.002452,0.002159,0.001218,0.001321,0.001302,0.001930,0.003139,0.001355,0.003684,0.000010,0.003016,0.001397,0.000848,0.004345,0.003969,0.001235,0.005331,0.003655,0.002651,0.004283,0.000339,0.003257,0.003332,0.001080,0.000910,0.002709,0.002927,0.001805,0.000603,0.001065,0.000448,0.000430,0.001936,0.001984,0.002898,0.003568,0.000806,0.002729,0.006283,0.001939,0.000095,0.000648,0.003833,0.003766,0.000384,0.001938,0.001769,0.000811,0.001786,0.005868
BB Thickness,,m,0.00955,0.001483,0.00066136,0.002169,0.002333,0.001129,0.002504,0.003197,0.003847,0.001317,0.002495,0.002019,0.001434,0.002597,0.001856,0.00046901,0.002719,0.002415,0.002492,0.00128,0.002621,0.001027,0.00083054,0.002525,0.003513,0.001123,0.001652,0.002839,0.002746,0.003762,0.004374,0.004364,0.001924,0.004876,0.00066996,0.00101,0.002084,0.005104,0.00234,0.005701,0.002695,0.003372,0.004183,0.001608,0.002806,0.003274,0.001675,0.002091,0.002295,0.004148,0.004072,0.003248,0.002868,0.004362,0.003947,0.003289,0.003563,0.00055977,0.00215,0.001374,0.001767,0.001879,0.002228,0.001321,0.00072008,7.978e-05,0.002647,0.002301,0.001063,0.003798,0.00267,0.003972,0.002243,0.001112,0.004793,0.002316,0.00271,0.00313,0.00057533,0.001319,0.00096456,0.002975,0.002914,0.002334,0.002529,0.002706,0.002182,0.003728,0.002608,0.00086983,0.00097099,0.003757,0.003527,0.001582,0.00412,0.00014625,0.00022855,0.004735,0.001427,0.001419,0.00214,0.002229,0.003123,0.001102,0.002234,0.00069327,0.002795,0.003248,0.004963,0.001377,0.003603,0.002243,0.00288,6.254e-05,0.001906,0.001422,0.003382,0.002686,0.004258,0.003189,0.00065957,0.00081105,0.002429,0.002731,0.003364,0.00013344,0.001424,0.00257,0.003853
HT Thickness,,m,0.008658,0.00565,0.003154,0.001628,0.002046,0.003444,0.001955,0.001405,0.002484,0.003154,0.002568,0.001213,0.002016,0.001422,0.001612,0.00082767,0.00095474,0.002586,0.001643,0.004385,2.813e-05,0.00202,0.001464,0.002906,0.003649,0.003599,0.002631,0.00483,0.002584,0.002732,0.001636,0.003278,0.00032524,0.00041777,0.002152,0.004051,0.001802,0.002867,0.002546,0.003536,8.662e-05,0.004381,0.00258,0.003995,0.00054545,0.001336,0.00066339,0.002509,0.00236,0.00063782,0.004626,0.003486,0.00291,0.002902,0.00071009,0.0005318,0.002633,0.001731,0.0006809,7.61e-05,0.003488,0.00043752,0.002399,0.002001,0.0002085,0.001033,0.001155,0.00018314,0.003758,0.002941,0.001343,0.005724,7.64e-06,0.002383,0.00065625,0.001543,0.00087183,0.002552,0.001628,0.001916,0.00094801,2.159e-05,0.00091195,0.004054,0.00371,0.00067459,0.001082,0.001041,0.003845,0.001326,0.00068728,0.002222,0.004959,0.003223,0.002341,0.00090747,0.001538,0.00221,0.002523,0.002029,0.003716,8.348e-05,0.002449,0.003264,0.00164,0.001786,0.001919,0.002589,0.002054,0.001969,7.184e-05,0.00073455,0.001443,0.001951,0.002551,0.001607,0.002088,0.003716,0.004361,0.00202,0.00095853,0.002133,0.00026699,0.001774,0.001075,0.001657,0.0021,0.001317,0.00070529
ST Thickness,,N/A,0.000900,0.000955,0.002496,0.000245,0.001824,0.004259,0.004141,0.002360,0.003018,0.000331,0.001976,0.002280,0.000714,0.001665,0.000938,0.004076,0.002408,0.002039,0.002864,0.001022,0.003804,0.003265,0.003340,0.001305,0.000412,0.003333,0.001033,0.002601,0.002008,0.001844,0.002118,0.001838,0.002591,0.002829,0.002106,0.001615,0.000176,0.001851,0.002038,0.001273,0.000301,0.000793,0.006483,0.000656,0.003854,0.001670,0.002737,0.000095,0.000001,0.000969,0.001118,0.002075,0.000060,0.002554,0.002227,0.000970,0.007480,0.004327,0.002472,0.001558,0.001436,0.004081,0.001041,0.001366,0.001832,0.001434,0.001135,0.002048,0.002102,0.003648,0.000940,0.002539,0.002685,0.002929,0.003274,0.002126,0.001785,0.004354,0.003074,0.002232,0.001392,0.000629,0.001916,0.001020,0.001712,0.002181,0.004166,0.000843,0.000370,0.002047,0.000419,0.002706,0.003292,0.004018,0.003086,0.001887,0.002393,0.000503,0.002720,0.002367,0.004315,0.003049,0.001212,0.002748,0.001426,0.004403,0.000999,0.001178,0.001398,0.000002,0.001013,0.000933,0.000386,0.000755,0.005477,0.002812,0.003965,0.002344,0.001574,0.002130,0.000029,0.002852,0.001671,0.001672,0.001134,0.001980,0.001997,0.001498,0.000378
DT Thickness,,m,0.00055675,0.00056279,0.0036,0.002528,0.00317,0.003354,0.00208,0.002079,0.00057027,8.11e-06,0.001533,0.002634,0.002324,0.0019,0.0009183,0.00098416,0.002594,0.001728,0.00364,0.002364,0.00032491,0.003992,0.005135,0.001949,0.001826,0.00044546,0.002569,0.001572,0.001103,0.00095754,0.005343,0.001205,0.003785,0.002733,0.001508,0.00301,0.001099,0.003645,2.1e-05,0.001594,0.00064899,0.001317,0.001328,0.004638,0.001414,0.002547,0.00079782,0.002068,0.00084194,0.001175,0.002723,0.004622,0.001483,0.001551,0.003327,0.003921,0.001266,0.002923,0.002812,0.00012316,0.00092064,0.003315,0.002435,0.001913,0.001214,0.001717,0.002266,0.003908,0.002297,0.00014109,0.001909,0.002157,0.00258,0.00155,0.003826,0.001275,0.00217,0.001123,0.00078009,0.003623,0.001746,0.00172,0.00076008,0.00297,0.005475,0.001459,0.002391,0.002357,0.001064,0.0002065,0.00055628,0.002458,0.001512,0.003179,0.001227,0.002235,0.001466,0.002915,0.002338,0.001543,0.002553,0.00157,0.001913,0.00136,0.004163,0.002504,0.004266,0.001614,0.002083,0.003162,0.002934,0.001443,0.001532,0.002553,0.003003,0.003366,0.004425,0.001987,0.002946,0.00099664,0.001253,0.002399,0.002009,0.004133,0.00179,0.00094064,0.001629,0.00098549,0.00087099
DT Length,,N/A,0.001428,0.655358,0.632598,0.647726,0.635585,0.657862,0.664163,0.670077,0.682335,0.644577,0.604326,0.456474,0.764670,0.648729,0.646232,0.650036,0.609916,0.714126,0.722665,0.407080,0.680489,0.623183,0.664564,0.646156,0.666375,0.646361,0.615227,0.669291,0.657162,0.641903,0.591819,0.648624,0.642657,0.650558,0.649071,0.641942,0.667977,0.620541,0.656542,0.606635,0.617887,0.632323,0.735951,0.640464,0.640733,0.659023,0.671463,0.674245,0.596895,0.639679,0.645177,0.623650,0.761771,0.614059,0.651479,0.510065,0.647163,0.726637,0.604745,0.674245,0.648858,0.665212,0.662600,0.582199,0.620683,0.638096,0.672198,0.637517,0.657301,0.647118,0.660145,0.724329,0.641815,0.672364,0.629512,0.633434,0.618059,0.639180,0.669192,0.657650,0.680644,0.645977,0.658212,0.626661,0.789772,0.627699,0.645521,0.642564,0.620673,0.641895,0.601787,0.596233,0.647956,0.603759,0.632060,0.648129,0.645163,0.655168,0.663410,0.599220,0.743884,0.662707,0.668196,0.652685,0.658251,0.651380,0.640958,0.670889,0.636665,0.623369,0.606882,0.662678,0.630751,0.663057,0.653686,0.774437,0.649222,0.622255,0.662123,0.662690,0.656882,0.656594,0.661653,0.636199,0.665064,0.665622,0.644806,0.621194,0.645174
Min FS 1,Monitor Only,,2.362e-01,8.486e-02,4.344e-01,2.927e-01,3.137e-01,1.438e-01,5.022e-01,3.174e-01,3.340e+00,Simulation Eccentric Stiffness (3) fails.,3.556e-01,4.380e-01,2.225e+00,7.270e-01,7.416e-01,2.211e-01,1.093e-01,4.658e-01,2.469e+00,3.831e-01,3.053e-01,8.461e-01,4.144e-01,1.062e+00,1.321e+00,2.510e-01,4.561e-01,3.385e-01,1.069e+00,2.640e-01,1.605e+00,1.374e+00,4.260e-01,3.662e-01,3.731e-01,1.172e+00,1.694e-01,4.071e-01,1.566e-01,3.814e-01,4.635e-01,1.841e-01,8.051e-01,4.527e-01,3.778e-01,7.764e-01,1.608e-01,2.043e-01,Simulation Eccentric Stiffness (3) fails.,2.751e-01,3.888e-01,4.266e-01,1.070e-01,1.540e+00,3.655e-01,3.450e-01,2.341e-01,8.080e-02,5.983e-01,9.009e-02,3.046e-01,7.121e-01,5.749e-01,1.360e+00,2.698e-01,5.419e-02,2.691e-01,1.269e+00,3.085e-01,4.606e-01,2.814e-01,2.805e-01,3.280e-01,3.616e-01,1.198e+00,3.049e-01,6.320e-01,2.818e-01,2.927e-01,4.234e-01,3.259e-01,2.339e-01,1.980e-01,1.721e-01,3.209e-01,6.811e-01,2.747e-01,4.056e-01,Simulation Eccentric Stiffness (3) fails.,2.077e-01,3.312e-01,1.182e+00,3.577e-01,5.839e-01,1.067e+00,4.566e-01,1.615e-01,6.917e-01,2.421e-01,6.670e-01,6.239e-01,3.918e-01,2.713e-01,6.693e-01,1.743e-01,3.053e-01,7.754e-01,7.942e-03,3.203e-01,Simulation Eccentric Stiffness (3) fails.,5.108e-01,2.780e-01,4.923e-01,3.975e-02,4.562e-01,3.123e-01,8.659e-01,1.480e+00,3.564e-01,1.544e-01,5.610e-02,2.467e-01,4.009e-01,4.483e-01,7.980e-01,6.350e-02,4.850e-01,9.568e-01,7.365e-01
