Design Study 1
Scenarios/Iterations:, 110
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110
Dropout Offset,,N/A,0.130000,0.129691,0.141631,0.129968,0.129825,0.145986,0.130528,0.143065,0.144751,0.137324,0.145653,0.130060,0.130276,0.147589,0.132202,0.135808,0.127730,0.129443,0.129881,0.130399,0.132904,0.134519,0.135975,0.132024,0.130119,0.132050,0.130956,0.138482,0.135403,0.129312,0.143084,0.139039,0.142261,0.133258,0.130039,0.135122,0.130497,0.128862,0.129885,0.127332,0.135549,0.132379,0.138609,0.140794,0.131297,0.142191,0.147229,0.129670,0.143098,0.133462,0.126318,0.129138,0.128511,0.131622,0.145549,0.133974,0.131355,0.130349,0.139594,0.143142,0.145767,0.130287,0.146938,0.128861,0.147841,0.130021,0.127814,0.145173,0.130229,0.135473,0.132802,0.130350,0.130064,0.130272,0.130051,0.134534,0.130313,0.129712,0.135816,0.132359,0.134961,0.132756,0.132353,0.129756,0.133009,0.138081,0.130665,0.129163,0.129917,0.129927,0.128377,0.137057,0.129624,0.141182,0.131811,0.134683,0.132248,0.129235,0.136554,0.130413,0.129707,0.128701,0.136476,0.153934,0.134958,0.139978,0.137122,0.129425,0.131510,0.134774,0.129700
SSB OD,,N/A,0.016000,0.001908,0.004235,0.001938,0.004013,0.003919,0.003162,0.003775,0.004729,0.002590,0.002354,0.001466,0.003136,0.002807,0.002921,0.001758,0.001209,0.001232,0.001347,0.001659,0.003113,0.003497,0.003448,0.001946,0.002773,0.001221,0.002020,0.002017,0.002805,-0.000802,0.003836,0.003869,0.005092,0.003072,0.000436,0.001929,0.003040,0.001976,0.002664,-0.000262,0.003160,0.004015,0.004071,0.003393,-0.000374,0.004525,0.004705,0.000994,0.002189,0.001884,-0.002268,0.000494,0.002161,0.002223,0.002214,0.004246,0.003094,0.003153,0.004089,0.004917,-0.002507,0.002806,0.004587,0.002202,0.003360,0.000207,0.001471,0.004835,0.002543,0.002227,0.004867,0.002045,0.002621,0.003682,0.003059,0.003707,0.001189,-0.000639,0.002790,-0.000113,0.003492,0.004164,0.003603,0.004189,0.001277,0.001924,0.001062,0.003581,0.001761,0.002392,0.003672,0.003908,0.003588,0.003617,0.002737,0.003044,0.003269,0.000718,0.001046,0.001719,0.001085,0.000376,-0.002464,0.004235,0.001987,0.003332,0.001311,0.003052,0.004071,0.004966,0.001351
CSB OD,,N/A,0.018000,0.005112,0.005825,0.003950,0.006231,0.005427,0.007842,0.003961,0.005712,0.004855,0.003240,0.004373,0.005871,0.004501,0.007149,0.006641,0.003665,0.003185,0.005424,0.005000,0.005043,0.004589,0.004119,0.002919,0.005632,0.004679,0.005586,0.005305,0.005500,0.003022,0.003687,0.004225,0.005658,0.003988,0.003583,0.006309,0.005378,0.005298,0.005540,0.004298,0.006332,0.005626,0.005284,0.004775,0.003273,0.004833,0.005696,0.005148,0.005608,0.006903,0.002950,0.004325,0.004509,0.005619,0.003585,0.004604,0.005684,0.003854,0.004075,0.005601,-0.000662,0.005979,0.004773,0.004153,0.001983,0.003067,0.004119,0.005437,0.006893,0.008348,0.005657,0.005228,0.005869,0.003807,0.006543,0.004968,0.005087,0.001186,0.007256,0.001190,0.006196,0.004084,0.006741,0.005313,0.006996,0.005192,0.004854,0.005747,0.003888,0.004135,0.005502,0.005292,0.004604,0.005393,0.005670,0.008620,0.007454,0.003510,0.005014,0.005842,0.004437,0.004485,0.001542,0.004033,0.006427,0.005292,0.004207,0.005800,0.004927,0.005348,0.004799
Material,,N/A,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials
SSB Offset,,N/A,0.330000,0.330442,0.328523,0.329954,0.330455,0.329607,0.330527,0.328670,0.328461,0.327366,0.328997,0.330502,0.331452,0.327802,0.331068,0.332417,0.329670,0.328019,0.332594,0.328981,0.328805,0.327557,0.327756,0.328901,0.329032,0.332458,0.332520,0.327532,0.328755,0.330326,0.326424,0.326666,0.328887,0.327144,0.327459,0.328301,0.330846,0.331552,0.332002,0.331558,0.329937,0.329089,0.329624,0.329909,0.326930,0.327263,0.329011,0.333792,0.327644,0.332961,0.330289,0.333112,0.330059,0.331731,0.328071,0.327602,0.331085,0.327578,0.327884,0.328388,0.329162,0.330414,0.327709,0.329229,0.325710,0.327097,0.329866,0.328616,0.331797,0.329729,0.329434,0.328220,0.330420,0.327584,0.329874,0.328029,0.333168,0.329067,0.329154,0.328751,0.329462,0.327136,0.330455,0.329267,0.330574,0.332237,0.327862,0.330410,0.328391,0.328366,0.329993,0.328406,0.329199,0.329285,0.331153,0.329783,0.330148,0.330043,0.327150,0.328515,0.328629,0.332157,0.331731,0.326718,0.330014,0.328258,0.332488,0.330529,0.329263,0.328398,0.332175
CSB Offset,,N/A,0.300000,0.295703,0.344804,0.348332,0.318846,0.343182,0.284313,0.342193,0.348469,0.335212,0.340958,0.338759,0.329323,0.346599,0.297099,0.293875,0.349923,0.318435,0.304953,0.309700,0.335913,0.341647,0.344583,0.335972,0.301367,0.337366,0.318412,0.325569,0.329366,0.352662,0.346519,0.347415,0.345594,0.342080,0.295419,0.294209,0.325286,0.337550,0.329903,0.351441,0.323781,0.333483,0.339135,0.344234,0.305369,0.344556,0.347682,0.317138,0.336153,0.286232,0.369850,0.326768,0.346113,0.319074,0.343694,0.344716,0.332942,0.340474,0.341071,0.347096,0.349901,0.314573,0.346845,0.316166,0.342961,0.306554,0.350356,0.346300,0.280294,0.270876,0.339347,0.295567,0.294888,0.340928,0.272696,0.341284,0.319460,0.336182,0.292396,0.336977,0.324370,0.344840,0.317225,0.334207,0.268686,0.332400,0.289904,0.335079,0.321023,0.322489,0.345618,0.344047,0.340339,0.341108,0.326489,0.283515,0.291775,0.345517,0.302541,0.279607,0.290421,0.345398,0.370706,0.355070,0.302331,0.344557,0.348712,0.313755,0.338539,0.343215,0.325060
SS Z,,N/A,0.009000,0.009578,0.010511,0.010653,0.009730,0.011297,0.009117,0.011125,0.011490,0.011647,0.011612,0.009913,0.010158,0.010574,0.009957,0.011333,0.009639,0.009869,0.011685,0.009288,0.009718,0.011125,0.009831,0.009387,0.009569,0.011594,0.011010,0.011161,0.009875,0.011117,0.011083,0.010891,0.011184,0.011236,0.010598,0.009945,0.010685,0.010265,0.010350,0.011359,0.009150,0.009948,0.010573,0.011402,0.010729,0.011113,0.011515,0.012178,0.011177,0.011291,0.011519,0.012002,0.009288,0.010388,0.010229,0.010420,0.009783,0.010308,0.010327,0.011400,0.014334,0.009187,0.011805,0.009080,0.011966,0.010723,0.009701,0.011291,0.010012,0.009062,0.009813,0.010249,0.009109,0.010666,0.009172,0.010487,0.011469,0.009118,0.009300,0.009084,0.009269,0.010667,0.009468,0.009277,0.009820,0.011562,0.010247,0.009420,0.009725,0.009961,0.009364,0.010097,0.009141,0.009783,0.009648,0.009102,0.009093,0.010284,0.011053,0.009868,0.009522,0.011295,0.014419,0.013735,0.009210,0.010103,0.012257,0.010362,0.009556,0.010201,0.009927
SS Thickness,,N/A,0.000799,0.005335,0.001690,0.004077,0.004136,0.002321,0.003155,0.002332,0.001703,0.001171,0.002260,0.002898,0.003283,0.001104,0.003883,0.005071,0.005672,0.001729,0.006730,0.001983,0.001874,0.001570,0.001898,0.002296,0.002131,0.003547,0.004128,0.001019,0.001717,0.003544,0.001557,0.001507,0.002102,0.001486,0.001177,0.001330,0.003964,0.004656,0.003814,0.007800,0.002258,0.002181,0.002673,0.002897,0.000855,0.001704,0.001827,0.006614,0.000827,0.006814,0.008995,0.006388,0.003698,0.003225,0.001150,0.001931,0.002951,0.001813,0.002089,0.001860,0.002556,0.002880,0.001721,0.002714,0.001607,0.001059,0.005965,0.001914,0.005732,0.002338,0.002705,0.001558,0.003401,0.001980,0.002724,0.001716,0.004610,0.002209,0.001850,0.001672,0.002108,0.001929,0.002940,0.002736,0.003067,0.002938,0.001307,0.003824,0.001830,0.001908,0.005075,0.001779,0.002990,0.001830,0.002872,0.002427,0.002831,0.003620,0.000714,0.001651,0.001967,0.006054,0.003617,0.001166,0.002253,0.001467,0.003207,0.005457,0.002789,0.002263,0.003089
CS Thickness,,N/A,0.002925,0.007184,0.002008,0.002503,0.002773,0.002014,0.006048,0.002327,0.001817,0.002592,0.002291,0.002172,0.002356,0.001825,0.003107,0.002897,0.002342,0.004742,0.003225,0.003445,0.002467,0.002583,0.002301,0.002238,0.005281,0.001995,0.002558,0.002823,0.002576,0.002027,0.001979,0.002180,0.001959,0.002681,0.007646,0.003784,0.002405,0.002181,0.002376,0.001929,0.002136,0.002612,0.002225,0.002386,0.006681,0.001957,0.001839,0.002445,0.002107,0.003255,0.001913,0.002041,0.002423,0.002652,0.001947,0.002372,0.002205,0.002761,0.002192,0.001892,0.002533,0.003099,0.001811,0.003668,0.001812,0.006769,0.002320,0.001946,0.007618,0.006391,0.002237,0.006095,0.006855,0.002643,0.008990,0.002587,0.002468,0.002218,0.003103,0.002047,0.002421,0.002376,0.002609,0.002574,0.007334,0.002099,0.007269,0.002580,0.003641,0.003655,0.002478,0.002276,0.002348,0.001909,0.002360,0.004045,0.003102,0.002316,0.004114,0.007569,0.007668,0.001900,0.002110,0.001253,0.002863,0.002123,0.002254,0.002795,0.002319,0.002306,0.002624
TT Thickness,,N/A,0.003445,0.002759,0.003318,0.004449,0.003127,0.003166,0.002581,0.002892,0.003128,0.002731,0.002956,0.003170,0.003497,0.002961,0.002645,0.002443,0.004266,0.002245,0.003021,0.002740,0.002977,0.002724,0.002778,0.002977,0.002568,0.003972,0.003035,0.002893,0.003033,0.003670,0.002628,0.002858,0.003064,0.002556,0.002045,0.002864,0.003272,0.004517,0.003717,0.005990,0.003137,0.003006,0.003649,0.003712,0.002207,0.002898,0.003111,0.003835,0.003226,0.002491,0.005622,0.004962,0.003615,0.002965,0.002882,0.002861,0.003347,0.002618,0.002745,0.003060,0.002808,0.003000,0.002848,0.002600,0.002179,0.002042,0.004711,0.003022,0.002645,0.002505,0.003145,0.002376,0.002673,0.002503,0.002279,0.002911,0.003121,0.002709,0.002975,0.002791,0.003871,0.002720,0.002925,0.002974,0.002362,0.003058,0.002293,0.004272,0.002478,0.002500,0.005047,0.003073,0.003079,0.003486,0.003043,0.002610,0.002595,0.003546,0.002676,0.002417,0.002222,0.005166,0.005246,0.002659,0.002778,0.003134,0.004278,0.003136,0.003145,0.002988,0.003052
BB Thickness,,m,0.00955,0.002374,0.002513,0.009945,0.003263,0.00896,0.002139,0.00766,0.002656,0.001074,0.008869,0.006491,0.004724,0.002713,0.002814,0.003129,0.00939,0.00159,0.002862,0.002082,0.002641,0.001382,0.002659,0.005362,0.001722,0.008301,0.003266,0.001137,0.002376,0.009607,0.001734,0.001465,0.003378,0.001136,0.00034676,0.001311,0.006404,0.0068,0.004811,0.009995,0.003974,0.002597,0.008298,0.01021,0.00033089,0.001887,0.00421,0.004025,0.001637,0.002805,0.01325,0.006239,0.007056,0.003159,0.003077,0.001915,0.005442,0.001736,0.003105,0.002594,0.01423,0.0029,0.002629,0.002697,0.002569,0.00031799,0.009381,0.003173,0.002154,0.001612,0.005574,0.00093337,0.00228,0.001746,0.001235,0.001862,0.003758,0.00467,0.001912,0.003884,0.002942,0.001632,0.003763,0.003683,0.001881,0.007912,0.00058797,0.005988,0.001921,0.001823,0.007576,0.002421,0.006502,0.004591,0.003991,0.001974,0.002348,0.008556,0.00043841,0.00082918,0.001175,0.00859,0.01579,0.002201,0.002524,0.002394,0.01101,0.003099,0.006801,0.002566,0.003383
HT Thickness,,m,0.008658,0.003072,0.001286,0.00556,0.003046,0.002607,0.002655,0.002489,0.001325,0.0002546,0.002649,0.002774,0.003391,0.00068254,0.002871,0.002836,0.004896,0.00123,0.005055,0.001679,0.001612,0.00052748,0.001127,0.002125,0.001825,0.004543,0.003388,0.00044149,0.001466,0.004026,0.00011216,0.00010644,0.001894,0.00026422,0.00057936,0.00085395,0.003957,0.004007,0.003664,0.006945,0.002268,0.001919,0.0029,0.003745,0.00017374,0.00062409,0.0018,0.005882,0.00025917,0.002976,0.007544,0.007082,0.002975,0.003001,0.0008459,0.00092257,0.002911,0.0009,0.001532,0.001367,0.005767,0.002854,0.001111,0.002437,0.0003628,0.00030287,0.005293,0.001712,0.003026,0.001779,0.002592,0.001115,0.002798,0.00096868,0.00192,0.00095614,0.003843,0.001607,0.001462,0.001189,0.001957,0.00065674,0.002818,0.002537,0.002492,0.003079,0.00080506,0.003368,0.001473,0.00147,0.004292,0.001245,0.002807,0.001762,0.002744,0.001955,0.002431,0.003605,0.0001763,0.001093,0.001516,0.005564,0.009547,0.00024403,0.002107,0.00098317,0.005872,0.003584,0.002727,0.001638,0.002914
ST Thickness,,N/A,0.000900,0.002792,0.002742,0.006049,0.003066,0.003689,0.002216,0.007112,0.003150,0.002778,0.005186,0.003153,0.002910,0.002445,0.002215,0.001979,0.007350,0.003304,0.002728,0.002390,0.002883,0.003368,0.004044,0.004262,0.002856,0.003133,0.002610,0.002166,0.002446,0.005265,0.004533,0.003262,0.005023,0.003962,0.002629,0.001738,0.003072,0.004057,0.002996,0.006604,0.002467,0.003168,0.004824,0.004699,0.002178,0.003846,0.003692,0.002964,0.001892,0.002094,0.009202,0.003642,0.005287,0.002460,0.002730,0.004710,0.002877,0.004774,0.006072,0.003965,0.007189,0.002553,0.004859,0.005778,0.009252,0.002752,0.007098,0.004205,0.002252,0.001628,0.006225,0.002654,0.002631,0.007132,0.002682,0.003004,0.002743,0.003606,0.001885,0.003082,0.002476,0.006075,0.002573,0.006541,0.001466,0.002701,0.002219,0.004055,0.003044,0.003616,0.006088,0.002888,0.006707,0.002802,0.002560,0.002077,0.002303,0.005436,0.001876,0.002087,0.002680,0.004859,0.005398,0.006403,0.001812,0.002477,0.003243,0.003086,0.005971,0.005256,0.002756
DT Thickness,,m,0.00055675,0.003835,0.007763,0.002274,0.003622,0.005032,0.004031,0.004392,0.00891,0.01076,0.003233,0.002171,0.002575,0.008193,0.003051,0.002622,0.001808,0.005423,0.002735,0.004619,0.006362,0.009666,0.006449,0.00307,0.00542,0.001776,0.002464,0.009226,0.006307,0.001209,0.00916,0.009148,0.007383,0.009965,0.006667,0.006538,0.002746,0.002061,0.002391,0.001156,0.00346,0.006437,0.003966,0.003024,0.006978,0.009091,0.00774,0.002066,0.009994,0.002807,0.00034556,0.001692,0.002282,0.002603,0.006857,0.007735,0.002661,0.007517,0.006139,0.008588,0.001753,0.0031,0.008781,0.004583,0.008227,0.006924,0.001808,0.007693,0.003972,0.004138,0.005387,0.006843,0.003665,0.008217,0.005945,0.007967,0.002176,0.002649,0.005311,0.0032,0.004915,0.008195,0.003082,0.005208,0.003128,0.002172,0.006652,0.002919,0.005313,0.005621,0.002706,0.007235,0.003083,0.005889,0.002727,0.004924,0.004083,0.00181,0.008694,0.006556,0.00517,0.00144,0.00068443,0.01208,0.003064,0.007507,0.001959,0.003134,0.003509,0.006859,0.002583
DT Length,,N/A,0.001428,0.684729,0.641679,0.699027,0.693510,0.703249,0.710884,0.669553,0.643474,0.622472,0.682239,0.643649,0.664405,0.640195,0.688089,0.674486,0.657797,0.624110,0.688378,0.643607,0.636500,0.619235,0.631052,0.641142,0.644730,0.667568,0.650915,0.631937,0.640897,0.647940,0.621854,0.617729,0.647962,0.612539,0.626517,0.646425,0.715142,0.648469,0.653457,0.679504,0.652390,0.639676,0.691024,0.719088,0.622915,0.629620,0.659620,0.689914,0.632976,0.701795,0.678941,0.718755,0.644686,0.646551,0.638795,0.622564,0.648951,0.616084,0.638887,0.642020,0.720637,0.661569,0.641108,0.638516,0.626012,0.617917,0.667183,0.648320,0.710727,0.699536,0.649223,0.638665,0.689240,0.614740,0.681124,0.626358,0.648812,0.631062,0.665935,0.630915,0.648224,0.615040,0.687417,0.640701,0.685244,0.663702,0.637820,0.648899,0.630594,0.628652,0.653718,0.635919,0.645179,0.645720,0.646635,0.705358,0.713949,0.653134,0.634776,0.647649,0.640187,0.663804,0.764320,0.635940,0.648897,0.637155,0.724722,0.709994,0.651388,0.635077,0.643904
Min FS 1,Monitor Only,,2.362e-01,2.369e-01,3.360e+00,1.060e+00,3.309e-01,2.239e+00,9.360e-01,2.066e+00,3.414e+00,3.384e+00,1.861e+00,9.471e-01,3.423e-01,3.420e+00,1.060e+00,1.257e+00,1.048e+00,2.701e+00,3.077e-01,1.961e+00,2.773e+00,4.475e+00,3.646e+00,3.750e+00,2.283e+00,3.597e-01,1.078e+00,3.212e+00,2.532e+00,8.581e-01,4.204e+00,5.051e+00,2.890e+00,3.653e+00,1.269e+00,2.412e+00,3.935e-01,3.220e-01,3.279e-01,3.302e-01,1.848e+00,2.652e+00,2.141e+00,6.584e-01,1.377e+00,4.511e+00,2.753e+00,3.134e-01,2.879e+00,1.231e+00,5.996e-01,3.811e-01,1.033e+00,9.932e-01,2.927e+00,4.223e+00,1.105e+00,3.965e+00,3.176e+00,3.549e+00,8.793e-01,1.565e+00,3.725e+00,2.342e+00,3.290e+00,1.425e+00,5.398e-01,2.885e+00,9.000e-01,Simulation Eccentric Stiffness (3) fails.,2.530e+00,2.780e+00,8.548e-01,4.802e+00,1.874e+00,3.756e+00,1.046e+00,3.720e+00,1.995e+00,3.300e+00,2.137e+00,4.754e+00,1.099e+00,2.646e+00,8.989e-01,6.456e-01,1.990e+00,3.573e-01,2.512e+00,2.800e+00,1.225e+00,3.341e+00,2.148e+00,2.444e+00,1.029e+00,1.097e+00,1.004e+00,9.442e-01,1.573e+00,2.148e+00,2.130e+00,3.374e-01,2.532e-01,3.267e+00,1.619e+00,3.238e+00,3.882e-01,3.352e-01,1.974e+00,3.457e+00,2.734e-01
Max Stress 1,Monitor Only, N/m^2,1.947e+09,1.161e+09,1.369e+08,7.809e+08,8.310e+08,2.055e+08,2.938e+08,2.226e+08,1.347e+08,1.359e+08,2.472e+08,8.736e+08,8.034e+08,1.345e+08,2.594e+08,2.188e+08,7.895e+08,1.703e+08,8.936e+08,2.345e+08,1.659e+08,1.028e+08,1.262e+08,2.206e+08,2.015e+08,7.645e+08,2.551e+08,1.432e+08,1.817e+08,9.642e+08,1.094e+08,9.106e+07,1.592e+08,1.259e+08,3.624e+08,1.907e+08,6.989e+08,8.541e+08,8.387e+08,8.329e+08,2.489e+08,1.735e+08,2.149e+08,6.986e+08,3.341e+08,1.020e+08,1.671e+08,8.775e+08,1.598e+08,2.235e+08,1.380e+09,7.215e+08,8.010e+08,2.769e+08,1.571e+08,1.089e+08,2.488e+08,1.160e+08,1.448e+08,1.296e+08,9.409e+08,2.940e+08,1.235e+08,1.965e+08,1.398e+08,3.228e+08,1.533e+09,1.594e+08,3.055e+08,Simulation Eccentric Stiffness (3) fails.,1.818e+08,1.654e+08,3.217e+08,9.580e+07,2.454e+08,1.225e+08,2.629e+08,2.224e+08,2.305e+08,2.507e+08,2.152e+08,9.677e+07,2.502e+08,1.739e+08,3.059e+08,4.260e+08,2.311e+08,7.697e+08,1.831e+08,1.643e+08,6.753e+08,1.377e+08,2.141e+08,1.883e+08,2.673e+08,2.508e+08,2.738e+08,8.762e+08,2.924e+08,2.141e+08,2.160e+08,8.151e+08,1.086e+09,1.408e+08,2.841e+08,1.421e+08,7.085e+08,8.203e+08,2.330e+08,1.330e+08,1.006e+09
