Design Study 1
Scenarios/Iterations:, 154
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154
Material,,N/A,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials
SSB Offset,,N/A,0.330000,0.330162,0.329704,0.330157,0.329747,0.330250,0.329690,0.329945,0.329766,0.330403,0.330087,0.330019,0.329826,0.329620,0.329411,0.329889,0.330517,0.330035,0.330478,0.330149,0.329811,0.330500,0.330421,0.330261,0.330495,0.329766,0.330494,0.330136,0.329689,0.330009,0.329844,0.330127,0.328969,0.330269,0.330193,0.330035,0.329749,0.330147,0.329578,0.329830,0.330112,0.330199,0.329399,0.330139,0.330058,0.329882,0.330284,0.329408,0.330073,0.330144,0.329837,0.330065,0.330219,0.329961,0.329864,0.330255,0.330287,0.330150,0.330473,0.330097,0.329968,0.329785,0.330173,0.329956,0.330182,0.330495,0.330341,0.330098,0.330354,0.329871,0.330148,0.330070,0.329754,0.330447,0.329964,0.329780,0.329988,0.329726,0.330422,0.330041,0.329985,0.330227,0.329750,0.330102,0.329899,0.330119,0.369789,0.330324,0.329625,0.330146,0.329575,0.329980,0.330560,0.330031,0.329686,0.329954,0.329914,0.330376,0.329910,0.329989,0.329975,0.330260,0.329830,0.330023,0.330627,0.329849,0.330011,0.330017,0.330305,0.330071,0.330261,0.330027,0.329984,0.329983,0.330052,0.330348,0.369937,0.330245,0.330072,0.329681,0.329870,0.329777,0.330144,0.330078,0.330166,0.329729,0.330359,0.330012,0.330373,0.330268,0.329846,0.329974,0.330131,0.329873,0.329861,0.330648,0.330636,0.329844,0.330138,0.330398,0.330013,0.330299,0.330275,0.330150,0.330425,0.330383,0.329968,0.329596,0.329954,0.329951,0.330531,0.330496,0.330089,0.330480,0.329731
CSB Offset,,N/A,0.300000,0.350473,0.350182,0.350457,0.300677,0.300158,0.350003,0.350256,0.350188,0.349884,0.350155,0.374995,0.349832,0.349346,0.350320,0.299531,0.349978,0.350039,0.350240,0.300548,0.349442,0.350267,0.350185,0.299977,0.350006,0.300874,0.300662,0.301214,0.350207,0.299524,0.350037,0.350571,0.349977,0.300368,0.299838,0.350807,0.350398,0.349690,0.350439,0.349857,0.350557,0.350622,0.350023,0.350786,0.350614,0.350400,0.350074,0.350470,0.349862,0.349985,0.350841,0.350003,0.350196,0.350280,0.351210,0.350432,0.350471,0.350478,0.349885,0.350138,0.349810,0.350356,0.300243,0.350742,0.300393,0.350814,0.350364,0.349989,0.350351,0.350201,0.350214,0.300257,0.300200,0.300149,0.349880,0.350243,0.349679,0.350039,0.300091,0.349602,0.350250,0.350368,0.350787,0.350063,0.350074,0.349903,0.372131,0.300543,0.350663,0.350039,0.350268,0.350216,0.349385,0.349918,0.350383,0.350014,0.349888,0.350187,0.349781,0.349932,0.349639,0.349733,0.350079,0.350206,0.350212,0.350587,0.350181,0.350631,0.350707,0.349990,0.350198,0.350359,0.350027,0.350107,0.350401,0.350046,0.349403,0.350423,0.350092,0.349858,0.350799,0.299521,0.350758,0.349736,0.349862,0.349909,0.349612,0.349595,0.350213,0.350457,0.349579,0.350637,0.350760,0.300218,0.349581,0.350092,0.350133,0.350451,0.349794,0.299615,0.350666,0.280418,0.376441,0.350192,0.350386,0.350368,0.350235,0.350607,0.350235,0.350040,0.300510,0.300959,0.350351,0.349497,0.350080
SS Z,,N/A,0.009000,0.009556,0.008848,0.009534,0.008796,0.008350,0.008674,0.009160,0.009454,0.009197,0.009248,0.009167,0.008983,0.009250,0.009428,0.008948,0.009639,0.009792,0.009960,0.009182,0.009073,0.009279,0.010512,0.008164,0.010020,0.009775,0.009216,0.008170,0.009375,0.009113,0.010277,0.008665,0.008412,0.009132,0.009331,0.009055,0.010188,0.009158,0.010284,0.008813,0.009347,0.010224,0.010172,0.008496,0.010216,0.009430,0.009071,0.008941,0.009057,0.008927,0.009478,0.010118,0.009427,0.009487,0.009463,0.009018,0.009303,0.009434,0.009453,0.009765,0.010336,0.008706,0.008899,0.009272,0.010334,0.009537,0.008891,0.008878,0.009184,0.009636,0.009342,0.009743,0.009497,0.009651,0.008854,0.009772,0.009198,0.009213,0.009280,0.009437,0.009310,0.010795,0.008999,0.009944,0.009822,0.009111,0.009470,0.008780,0.009935,0.009001,0.008371,0.009742,0.009695,0.009081,0.009521,0.010098,0.008615,0.009195,0.009329,0.010044,0.008270,0.008312,0.008847,0.008864,0.009192,0.009120,0.009276,0.008861,0.009358,0.008670,0.009468,0.008828,0.009193,0.008715,0.010286,0.009133,0.008834,0.008562,0.009726,0.008865,0.009824,0.009116,0.009603,0.010248,0.009999,0.009624,0.009082,0.010036,0.009164,0.010148,0.009428,0.009682,0.009470,0.009386,0.009474,0.009670,0.009863,0.009645,0.008623,0.009078,0.009310,0.009272,0.008683,0.007892,0.010210,0.008913,0.009001,0.009604,0.009426,0.008113,0.008678,0.009027,0.008881,0.009002,0.009499
SS Thickness,,N/A,0.000799,0.003149,0.000851,0.000163,0.001055,0.001256,0.001219,0.000317,0.005211,0.000368,0.006593,0.000514,0.001454,0.000110,0.000719,0.004003,0.000840,0.001416,0.001682,0.002777,0.000138,0.003873,0.000690,0.001493,0.004777,0.001759,0.001014,0.003061,0.000868,0.004811,0.000520,0.004868,0.000258,0.003835,0.002187,0.004415,0.000094,0.004914,0.000511,0.005294,0.002097,0.001059,0.002643,0.001058,0.005968,0.003603,0.000637,0.000500,0.006118,0.001728,0.000827,0.001905,0.000139,0.001180,0.001441,0.004840,0.001596,0.002919,0.000581,0.007621,0.002272,0.001639,0.000216,0.001453,0.003958,0.005285,0.001183,0.006211,0.001472,0.001012,0.000124,0.002997,0.002046,0.001424,0.006253,0.006270,0.000885,0.001763,0.000569,0.002882,0.006208,0.000623,0.002268,0.000326,0.002227,0.000961,0.003966,0.001682,0.001585,0.001383,0.006829,0.000036,0.001651,0.005248,0.001462,0.001610,0.001610,0.008390,0.001667,0.000717,0.000384,0.002540,0.000840,0.000576,0.008516,0.006098,0.002446,0.001512,0.000443,0.003014,0.000722,0.001530,0.003522,0.001712,0.001049,0.000241,0.001096,0.002487,0.001930,0.000918,0.002778,0.005853,0.001618,0.000621,0.005569,0.000504,0.000557,0.002970,0.001413,0.001390,0.006630,0.000280,0.003799,0.005976,0.003912,0.001835,0.001153,0.001875,0.000742,0.001569,0.001415,0.003247,0.001082,0.002772,0.003909,0.001600,0.003351,0.001074,0.000025,0.000593,0.001434,0.002021,0.000251,0.005075,0.000547
CS Thickness,,N/A,0.002925,0.002376,0.002124,0.000437,0.000967,0.001146,0.001958,0.000712,0.003420,0.004695,0.004772,0.002196,0.001207,0.000604,0.001644,0.006428,0.003282,0.002091,0.000751,0.000818,0.001015,0.002503,0.000780,0.000058,0.005201,0.005884,0.001998,0.000846,0.001526,0.000542,0.001801,0.005722,0.000761,0.000353,0.000701,0.001304,0.000798,0.001831,0.001388,0.001630,0.003436,0.003178,0.004539,0.002779,0.000673,0.000808,0.007461,0.002345,0.002092,0.001011,0.002759,0.000889,0.001933,0.000976,0.000511,0.000711,0.000526,0.002682,0.001353,0.002017,0.002431,0.000557,0.000662,0.000514,0.000773,0.000616,0.005470,0.000928,0.001146,0.004584,0.000093,0.002040,0.000179,0.001952,0.003620,0.001265,0.000500,0.002374,0.000681,0.003170,0.001143,0.001089,0.002192,0.001192,0.005775,0.001358,0.000494,0.001314,0.001652,0.000921,0.002118,0.002438,0.001794,0.001280,0.001850,0.000929,0.002012,0.000635,0.001909,0.000774,0.000301,0.001000,0.002443,0.000733,0.006827,0.002120,0.000027,0.004597,0.003720,0.007132,0.001924,0.002263,0.001227,0.002228,0.002607,0.002809,0.004940,0.001301,0.001804,0.000088,0.001040,0.002715,0.002429,0.001409,0.000169,0.002835,0.002246,0.002453,0.002070,0.001440,0.002504,0.002732,0.001454,0.005727,0.001593,0.000322,0.005073,0.001025,0.008598,0.000963,0.005194,0.001083,0.005111,0.001111,0.003017,0.001172,0.001626,0.002374,0.000826,0.001668,0.002632,0.001350,0.000160,0.001173,0.002482
TT Thickness,,N/A,0.003445,0.004871,0.003376,0.000576,0.004374,0.001133,0.001788,0.001566,0.001249,0.005823,0.000222,0.002258,0.003346,0.007200,0.001368,0.002780,0.001300,0.002035,0.002600,0.000371,0.001165,0.000640,0.005086,0.000230,0.007463,0.000241,0.001276,0.006384,0.000777,0.001507,0.002677,0.006965,0.001090,0.001163,0.002795,0.000634,0.001110,0.000734,0.002757,0.000616,0.001959,0.001243,0.002808,0.000013,0.000679,0.000719,0.005623,0.001773,0.005581,0.001907,0.001164,0.002078,0.000048,0.000625,0.002263,0.000538,0.001581,0.002115,0.000387,0.003829,0.006138,0.000902,0.001917,0.000637,0.001761,0.001625,0.001718,0.001377,0.002658,0.000518,0.001503,0.003365,0.005168,0.000561,0.003096,0.002452,0.001349,0.003339,0.000401,0.000332,0.005254,0.001737,0.001683,0.001250,0.002676,0.002356,0.001452,0.000313,0.001745,0.001129,0.000106,0.001859,0.001149,0.003003,0.000197,0.001053,0.000291,0.003515,0.000081,0.004590,0.001792,0.005702,0.003221,0.001037,0.001592,0.001058,0.004738,0.003482,0.001567,0.007804,0.006170,0.000604,0.001021,0.002175,0.001132,0.004964,0.005941,0.000704,0.002279,0.002750,0.001524,0.000298,0.000320,0.001870,0.002091,0.001761,0.002830,0.003132,0.000128,0.001468,0.001527,0.000782,0.002253,0.002379,0.005267,0.001099,0.000532,0.001511,0.004763,0.000809,0.002260,0.005349,0.002828,0.001328,0.000691,0.001311,0.005193,0.000762,0.001179,0.002806,0.000676,0.002512,0.004081,0.002378,0.001508
BB Thickness,,m,0.00955,0.001074,0.001546,0.00051723,0.002637,0.007618,0.001507,0.00068067,0.002448,0.00035827,0.003005,0.006445,0.001313,0.005814,0.00455,0.002458,0.00208,0.003948,0.007193,0.002388,0.004978,0.002215,0.002511,0.006441,0.006032,0.001737,0.00065075,0.00015513,0.00065726,0.001231,0.002671,0.00078808,0.001808,0.001724,0.001809,0.002676,0.001779,0.001215,0.004359,0.002008,0.00081522,0.002964,0.003108,0.001916,0.002554,0.001928,0.001837,0.00151,0.002242,0.00175,0.001786,0.00068223,0.002761,7.52e-05,0.001706,0.0014,0.007048,0.001505,0.002352,0.002762,0.002327,0.00037623,0.00168,0.00601,0.001481,0.002713,0.001741,0.002499,0.002883,0.001864,0.00056728,0.002681,0.002622,0.00092835,0.002705,0.005455,0.00027543,0.007221,0.00037645,0.003024,0.001623,0.002074,0.00165,0.00235,0.007188,0.00263,0.008604,0.00329,0.00047576,0.002239,0.00204,0.001946,0.001291,0.001828,0.001543,0.00052488,0.002373,0.00090189,0.001846,0.00055096,0.002399,0.005791,0.003475,0.005353,0.007892,0.003544,0.00275,0.00099733,0.00247,0.001718,0.002014,0.001426,0.003496,0.002649,0.00098622,0.001994,0.006898,0.003183,0.002787,0.00192,0.00251,0.007585,0.001684,0.002443,0.002684,0.00252,0.006579,0.00192,0.00173,0.001826,0.001764,0.006771,0.003179,0.001008,0.005074,0.006455,0.00131,0.003938,0.00089403,0.007047,0.002402,0.001733,0.001751,0.004044,0.001706,0.00697,0.002458,0.002754,0.004579,0.003372,0.007282,0.007551,0.008367,0.002773,0.005702
HT Thickness,,m,0.008658,0.00079808,0.002467,0.002114,0.004112,0.001374,0.001485,0.003468,0.003809,0.00745,0.005993,0.003297,0.006675,0.003125,0.008318,0.003063,0.001801,0.001499,0.002986,0.003256,0.001004,0.00129,0.008032,0.001295,0.001596,0.00060682,0.008124,0.003235,0.002486,0.006191,0.003292,0.002121,0.006044,0.00296,0.00399,0.004756,0.009084,0.005616,0.002666,0.001584,0.003435,0.002868,0.002332,0.002593,0.001534,0.001721,0.003199,0.002269,0.001998,0.005542,0.003151,0.00177,0.001077,0.00091339,0.002911,0.00193,0.00317,0.008876,0.007437,0.001594,0.003953,0.006288,0.001932,0.002376,0.003815,0.002054,0.003559,0.004874,0.001047,0.001181,0.002373,0.0035,0.00606,0.001902,0.003775,0.001841,0.008967,0.002298,0.002269,0.001831,0.002564,0.004214,0.00709,0.002896,0.001264,0.002648,0.00472,0.004886,0.002083,0.00266,0.002021,0.001568,0.006624,0.006489,0.002881,5.258e-05,0.001171,0.0036,0.004827,0.002604,0.00038348,0.003258,0.001382,0.001123,0.007779,0.002697,0.005424,0.003433,0.00303,0.001689,0.001656,0.003393,0.004585,0.001892,0.001821,0.00235,0.001868,0.002077,0.001475,0.003411,0.006942,0.002377,0.002615,0.00701,0.005869,0.002343,0.002383,0.001768,0.002112,0.001951,0.008699,0.003825,0.002801,0.003947,0.001634,0.001447,0.008285,0.001324,0.001374,0.001823,0.003128,0.001675,0.004389,0.003867,0.0004226,0.001644,0.001716,0.007955,0.00095227,0.003046,0.007297,0.001093,0.005887,0.001101,0.006621
ST Thickness,,N/A,0.000900,0.001326,0.001401,0.000937,0.003150,0.000981,0.001912,0.002096,0.001417,0.003294,0.001509,0.001338,0.002976,0.001419,0.000399,0.006148,0.001859,0.005397,0.001975,0.006996,0.007674,0.001303,0.001982,0.001830,0.001802,0.007436,0.008348,0.000388,0.001684,0.003368,0.001213,0.001847,0.001751,0.001718,0.003472,0.000076,0.000296,0.001416,0.002430,0.005331,0.001604,0.000106,0.001200,0.000985,0.001356,0.001376,0.001097,0.007633,0.001621,0.004306,0.002831,0.001000,0.001753,0.002306,0.000026,0.002032,0.007648,0.000627,0.000934,0.005850,0.006234,0.000530,0.002054,0.002600,0.001791,0.000358,0.001183,0.000629,0.002715,0.000756,0.005418,0.001399,0.001659,0.002446,0.001950,0.001107,0.001978,0.002410,0.001327,0.005980,0.000923,0.001745,0.001696,0.000212,0.000653,0.000930,0.000732,0.001758,0.001318,0.001761,0.000270,0.001535,0.000737,0.001398,0.005788,0.000282,0.000454,0.001629,0.006915,0.000894,0.001816,0.002498,0.001708,0.005626,0.000520,0.001666,0.001675,0.002093,0.002076,0.001770,0.004890,0.001887,0.001784,0.000203,0.001423,0.001462,0.001246,0.004014,0.004253,0.006524,0.001762,0.003474,0.000138,0.002842,0.001042,0.002867,0.001604,0.000266,0.007458,0.003254,0.000674,0.001728,0.002536,0.002023,0.006010,0.000720,0.000750,0.002046,0.001412,0.001104,0.001299,0.001484,0.006733,0.000652,0.000735,0.002202,0.002264,0.001859,0.000184,0.001358,0.002079,0.001629,0.000367,0.001229,0.001614
DT Thickness,,m,0.00055675,0.005699,0.001932,0.001509,0.003628,0.00243,0.001798,0.003055,0.007614,0.002388,0.006188,0.002046,0.003153,0.004221,0.002016,0.005921,0.004848,0.001653,0.00088715,0.007109,0.002159,0.00030104,0.002009,0.002175,0.001193,0.004355,0.005268,0.00223,0.001638,0.006094,0.008281,0.002117,0.002324,0.001351,0.001243,0.002839,0.003253,0.001726,0.006199,0.002261,0.002147,0.002156,0.002061,0.001283,0.006177,0.002749,0.001761,0.00254,0.005794,0.005476,0.004984,0.001979,0.001765,0.001337,0.005519,0.002111,0.001839,0.002995,0.002017,0.005275,0.002536,0.001546,0.002268,0.006447,0.003026,0.001381,0.003155,0.006927,0.005701,0.002121,0.001712,0.007194,0.001106,0.002034,0.001707,0.00093504,0.006714,0.001565,0.006608,0.008544,0.008372,0.001972,0.001644,0.002579,0.005493,0.006651,0.005568,0.001982,0.006226,0.002937,0.007938,0.001303,0.003535,0.002728,0.007141,0.001344,0.001714,0.005793,0.002257,0.00071986,0.002956,0.002745,0.005777,0.002922,0.00219,0.006925,0.0019,0.0007073,0.002859,0.007502,0.001706,0.002792,0.003186,0.00236,0.001862,0.007541,0.001553,0.00271,0.002953,0.006929,0.006019,0.007633,0.007306,0.001505,0.00057988,0.004766,0.007019,0.002136,0.002572,0.002106,0.001478,0.008189,0.00086375,0.002121,0.005988,0.001435,0.00086636,0.002634,0.006491,0.002007,0.002133,0.001901,0.002178,0.003297,0.003156,0.002219,0.001576,0.007033,0.00026682,0.005625,0.002155,0.006936,0.001237,0.007269,0.001972
