Design Study 1
Scenarios/Iterations:, 156
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156
Material,,N/A,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials
SSB Offset,,N/A,0.330000,0.330017,0.329953,0.330039,0.329988,0.329908,0.329932,0.330012,0.330023,0.329992,0.328284,0.330048,0.363423,0.367888,0.330006,0.329913,0.330027,0.330062,0.329993,0.329992,0.330021,0.329994,0.329997,0.329948,0.329863,0.329991,0.330088,0.329996,0.330011,0.330020,0.330061,0.330001,0.329960,0.330004,0.329965,0.330113,0.329990,0.329952,0.329988,0.330170,0.330012,0.329972,0.330049,0.330008,0.330397,0.329981,0.330055,0.330014,0.329982,0.329831,0.329999,0.329541,0.330025,0.330023,0.329932,0.329928,0.330024,0.329945,0.330006,0.329954,0.330023,0.330025,0.330030,0.330049,0.330073,0.329929,0.329963,0.330014,0.330056,0.330152,0.330036,0.330033,0.330036,0.330048,0.329931,0.330034,0.330446,0.329950,0.330044,0.329978,0.329947,0.330002,0.330065,0.330020,0.329980,0.329972,0.329919,0.330001,0.330105,0.329863,0.330000,0.329898,0.330039,0.329985,0.330017,0.330075,0.330015,0.330007,0.329933,0.330111,0.329973,0.330001,0.329953,0.329961,0.329977,0.329970,0.329947,0.330017,0.330108,0.329956,0.329991,0.329842,0.330005,0.330085,0.329944,0.330177,0.329944,0.329995,0.329969,0.329986,0.329958,0.329933,0.330041,0.329950,0.330022,0.330012,0.329986,0.330030,0.329987,0.330025,0.329989,0.330019,0.329912,0.330067,0.329996,0.330077,0.329959,0.330086,0.330017,0.329903,0.330073,0.330005,0.329930,0.329928,0.329967,0.329990,0.329999,0.330036,0.329994,0.330011,0.330011,0.330046,0.330065,0.330017,0.329977,0.330014,0.329965
CSB Offset,,N/A,0.300000,0.349972,0.299991,0.299991,0.299934,0.299971,0.350053,0.349987,0.350059,0.350109,0.287146,0.299980,0.349986,0.300088,0.350193,0.349890,0.299652,0.350028,0.349877,0.300383,0.350017,0.350036,0.350042,0.300182,0.350096,0.299949,0.299777,0.349885,0.299987,0.299894,0.299681,0.349892,0.299928,0.350039,0.299986,0.350019,0.300063,0.350044,0.349916,0.299931,0.350074,0.349925,0.350019,0.350001,0.300099,0.349965,0.350068,0.350028,0.349869,0.350519,0.350007,0.383850,0.299965,0.299885,0.349964,0.349917,0.350031,0.350000,0.349998,0.349996,0.349920,0.300005,0.290800,0.350046,0.349811,0.300424,0.350037,0.350041,0.349999,0.350020,0.349934,0.376644,0.350050,0.300014,0.350138,0.349860,0.350871,0.349942,0.349929,0.350062,0.349945,0.349913,0.300072,0.299984,0.300011,0.300047,0.350057,0.349999,0.350004,0.300616,0.349975,0.349477,0.290970,0.349989,0.350023,0.382217,0.350095,0.300052,0.349998,0.349964,0.299916,0.300112,0.299945,0.349949,0.349995,0.349906,0.349922,0.349931,0.350023,0.349972,0.349985,0.371977,0.299961,0.350021,0.300010,0.300018,0.300048,0.350090,0.350113,0.349967,0.300068,0.349951,0.299993,0.350011,0.349991,0.299975,0.350031,0.349992,0.299965,0.299959,0.299985,0.299968,0.350063,0.299906,0.300041,0.299943,0.349906,0.300011,0.299869,0.349942,0.349895,0.350075,0.349908,0.350041,0.299986,0.350046,0.350182,0.350085,0.350007,0.350041,0.349842,0.350231,0.349951,0.350023,0.350025,0.300053,0.299886
SS Z,,N/A,0.009000,0.009090,0.008502,0.008965,0.009004,0.008711,0.009158,0.008491,0.009450,0.009127,0.008422,0.009105,0.009331,0.009409,0.008632,0.008920,0.007307,0.008554,0.008979,0.009662,0.009401,0.009197,0.008791,0.009100,0.008673,0.009284,0.012037,0.008525,0.010746,0.009360,0.007891,0.008538,0.008650,0.009201,0.009087,0.008687,0.009397,0.009423,0.008883,0.008356,0.009070,0.009023,0.011120,0.008733,0.008779,0.009679,0.008430,0.008979,0.009229,0.008290,0.009174,0.006859,0.008235,0.007906,0.009091,0.008797,0.013020,0.008774,0.008988,0.008947,0.008341,0.009275,0.009013,0.009333,0.008988,0.008900,0.008485,0.009115,0.008898,0.009608,0.008543,0.009168,0.008317,0.008790,0.008617,0.008831,0.008166,0.008016,0.008186,0.009200,0.008810,0.008303,0.009158,0.008488,0.008716,0.008915,0.009210,0.008184,0.008842,0.008659,0.009304,0.009097,0.008882,0.008808,0.009692,0.008959,0.008995,0.009292,0.008680,0.009088,0.009478,0.007722,0.008894,0.009417,0.009401,0.010533,0.008714,0.008820,0.008783,0.009248,0.009080,0.008642,0.009413,0.008794,0.009440,0.008593,0.007864,0.009053,0.009248,0.009176,0.009187,0.008476,0.009503,0.008217,0.009810,0.009755,0.009096,0.009135,0.008676,0.008998,0.008600,0.009131,0.009541,0.004692,0.008888,0.008776,0.009177,0.004214,0.008469,0.008832,0.008695,0.009014,0.007238,0.009936,0.009045,0.008397,0.009993,0.009196,0.008590,0.009311,0.008125,0.009591,0.011087,0.009326,0.010354,0.008600,0.009246
SS Thickness,,N/A,0.000799,0.003386,0.000158,0.004645,0.004021,0.002894,0.003623,0.002672,0.000659,0.001292,0.002406,0.001056,0.002531,0.001567,0.001407,0.002217,0.000269,0.001535,0.002558,0.006005,0.002030,0.001549,0.000705,0.002505,0.001596,0.001423,0.003020,0.001383,0.003955,0.003016,0.003020,0.000686,0.003916,0.003329,0.001877,0.004127,0.000161,0.001407,0.000450,0.001111,0.003562,0.001657,0.002025,0.002994,0.001360,0.001981,0.000299,0.002063,0.002296,0.001750,0.001092,0.000399,0.000634,0.001553,0.002928,0.001371,0.000538,0.001106,0.002270,0.003160,0.001983,0.001979,0.002159,0.002796,0.000069,0.001160,0.003226,0.001542,0.003246,0.002697,0.002815,0.001746,0.003414,0.004430,0.001926,0.003149,0.000065,0.003578,0.002790,0.001689,0.002096,0.002693,0.002612,0.003409,0.002443,0.002244,0.002614,0.001492,0.001785,0.004107,0.001966,0.001442,0.002017,0.001892,0.003028,0.000180,0.002549,0.002299,0.001982,0.003564,0.002791,0.000979,0.001148,0.002024,0.001782,0.002327,0.004228,0.001185,0.001595,0.002442,0.001497,0.000514,0.003027,0.002984,0.002358,0.002792,0.001287,0.002899,0.003489,0.004525,0.003339,0.001047,0.001145,0.004078,0.001133,0.005179,0.003065,0.000776,0.003498,0.000054,0.002377,0.003048,0.000374,0.000578,0.001515,0.002926,0.000916,0.000887,0.001449,0.001189,0.002779,0.002809,0.002863,0.001895,0.002164,0.002687,0.002616,0.001911,0.000003,0.002841,0.003080,0.001776,0.002299,0.004631,0.002859,0.005479,0.002442
CS Thickness,,N/A,0.002925,0.000241,0.002399,0.001438,0.004702,0.002338,0.001993,0.003502,0.002379,0.002446,0.002498,0.001099,0.001195,0.001915,0.002955,0.003184,0.002930,0.000694,0.002769,0.000554,0.003482,0.002351,0.005223,0.001382,0.001728,0.000201,0.001133,0.001513,0.001961,0.003310,0.001704,0.002852,0.000989,0.002367,0.006545,0.000752,0.003179,0.005548,0.003872,0.002590,0.000209,0.003789,0.002938,0.002489,0.002571,0.003556,0.000943,0.001105,0.003053,0.000596,0.001093,0.004170,0.001156,0.002854,0.002875,0.002957,0.001003,0.000976,0.001395,0.001118,0.001315,0.003906,0.001829,0.001279,0.002453,0.003941,0.002767,0.001513,0.001440,0.001297,0.004188,0.001585,0.000912,0.001344,0.002657,0.003009,0.000918,0.002423,0.002371,0.002693,0.000872,0.001194,0.002427,0.005340,0.001556,0.000705,0.002793,0.002129,0.000542,0.001955,0.000218,0.006423,0.002310,0.001961,0.003280,0.003449,0.002287,0.004140,0.001849,0.003226,0.000645,0.002610,0.002196,0.004019,0.001151,0.003272,0.000881,0.001880,0.001927,0.001361,0.001252,0.002088,0.000641,0.001776,0.003391,0.003738,0.000511,0.003927,0.000295,0.002072,0.002818,0.001770,0.002842,0.003690,0.003050,0.000336,0.002740,0.002005,0.002323,0.002346,0.004744,0.003358,0.003746,0.002312,0.002669,0.001133,0.000848,0.002013,0.001614,0.001580,0.001011,0.004261,0.000992,0.004441,0.002462,0.003310,0.001692,0.001394,0.000850,0.002618,0.002350,0.003791,0.002577,0.002426,0.000450,0.000357,0.002656
TT Thickness,,N/A,0.003445,0.001788,0.004518,0.003707,0.000693,0.000555,0.001400,0.001215,0.000554,0.002655,0.006340,0.002838,0.000802,0.003397,0.001564,0.002422,0.001155,0.002761,0.002875,0.001473,0.002420,0.003606,0.003667,0.000563,0.004362,0.002402,0.003706,0.004858,0.002670,0.000019,0.000619,0.002025,0.003470,0.002148,0.003422,0.000972,0.002203,0.003578,0.002542,0.002337,0.001951,0.001236,0.001579,0.002969,0.003806,0.000151,0.003546,0.001924,0.001769,0.004899,0.003916,0.001932,0.000732,0.003846,0.001826,0.001577,0.000820,0.001883,0.003397,0.003735,0.003375,0.003642,0.002622,0.000225,0.001155,0.002711,0.002802,0.001658,0.003071,0.004178,0.002507,0.004078,0.003230,0.004338,0.002618,0.001026,0.003634,0.003021,0.002572,0.001106,0.001393,0.003456,0.001248,0.002253,0.001763,0.003613,0.001204,0.002081,0.003050,0.001824,0.003456,0.002782,0.005559,0.003455,0.002171,0.004006,0.000793,0.001498,0.000240,0.002868,0.003139,0.000788,0.003265,0.002871,0.002150,0.002962,0.001228,0.004049,0.001924,0.002471,0.002164,0.002272,0.003303,0.002911,0.002868,0.000890,0.001736,0.004834,0.000753,0.002529,0.003909,0.002392,0.003324,0.001003,0.000956,0.003731,0.002942,0.002462,0.002981,0.003050,0.001538,0.003114,0.001181,0.005506,0.004173,0.000928,0.001784,0.002379,0.001601,0.002738,0.001587,0.001320,0.003675,0.003216,0.003244,0.001506,0.001550,0.001713,0.004998,0.004042,0.001648,0.002797,0.000349,0.004983,0.001972,0.001292,0.000718
BB Thickness,,m,0.00955,0.001901,0.001755,0.001042,0.002898,0.001402,0.001752,0.00099195,0.009461,0.001966,0.002406,0.001304,0.003302,7.419e-05,0.00020238,0.0006616,0.003049,0.003004,0.00090724,0.005358,0.00325,0.002552,0.001199,0.002314,0.00444,0.003359,0.001081,0.002448,0.002869,0.00078358,0.008031,0.000676,0.002573,0.001193,0.002433,0.002199,0.001659,0.002063,0.003277,0.003235,0.005504,0.003698,0.00095383,0.001459,0.001218,0.0005339,0.00064403,0.002827,0.00344,0.002554,0.001515,0.005286,0.003035,0.008175,0.00401,0.004077,0.00357,0.002783,0.002729,0.003507,0.00088838,0.001023,0.004345,0.001002,0.002079,0.002721,0.004065,0.001152,0.002038,0.003515,0.001699,0.001526,0.001892,0.003468,0.0005162,0.002607,0.003189,0.003578,0.00261,0.001918,0.003848,0.003349,0.001169,0.001733,0.003087,0.004547,0.00118,0.00344,1.311e-05,0.003126,0.001477,0.001625,0.001164,0.005053,0.002189,0.002013,0.004193,0.001314,0.002025,0.001344,0.002125,0.001195,0.003656,0.002135,0.0104,0.001077,0.001549,0.005897,0.00057459,0.002868,0.001667,0.002675,0.001222,0.001579,0.003916,0.001105,0.00097658,0.00136,0.003147,0.001896,0.001379,0.00014464,0.001485,0.004747,0.002587,0.00045022,0.005113,0.00095036,0.001533,0.002999,0.00195,0.00196,0.002516,0.004679,0.002779,0.002547,0.001039,0.003914,0.003286,0.00289,0.001909,0.00084107,0.002436,0.002005,0.001379,0.002342,0.001412,0.002232,0.006535,0.001581,0.00078364,0.00050731,0.00381,0.00545,0.001374,0.002698,0.00207
HT Thickness,,m,0.008658,0.003481,0.00046695,0.003515,0.002102,0.00489,0.002494,0.002888,0.001546,0.002914,0.001342,0.00079177,0.002988,0.00073681,0.002266,0.002089,0.003651,0.001045,0.002346,0.002223,0.003297,0.003374,0.001559,0.002254,0.002774,0.001818,0.00018953,0.00040602,0.001884,0.001034,0.003804,0.003568,0.00025986,0.002633,0.002774,0.003368,0.0003518,0.00055538,0.00225,0.005638,0.003209,0.001641,0.003257,0.001475,0.00071192,0.002541,0.00064015,0.00070281,0.001801,0.0008963,0.003093,0.00094078,0.002929,0.003181,0.003563,0.001215,0.003633,0.00024577,0.004055,0.001718,0.00366,0.003845,0.002587,0.002239,0.002676,0.002474,0.002391,0.001972,0.001306,0.00088835,0.001264,0.001531,0.002312,0.002586,0.003317,8.628e-05,0.001851,0.004223,0.002055,0.003111,0.003461,0.002093,0.002685,0.001065,0.003994,0.004485,0.004541,0.001927,0.002123,0.004452,0.003396,0.003599,0.002733,0.003313,0.002882,0.002427,0.00079843,0.001207,0.003237,0.003386,0.001941,0.002766,0.002084,0.00123,0.0004495,0.002876,0.002026,0.00063044,0.002068,0.003758,0.001686,0.003886,0.00266,0.001043,0.00085463,0.002698,0.00040062,0.002768,0.0006862,0.003496,0.004994,0.001964,0.001083,0.002199,0.00235,0.004467,0.003673,0.001007,0.00086919,0.00079978,0.002962,0.002103,0.00028859,0.001349,0.00079257,0.002677,0.004484,0.001981,0.001876,0.005485,0.003897,0.002912,0.002027,0.00091542,0.002072,0.0007733,0.00065727,0.002712,0.001226,0.001433,0.002171,0.001887,0.00010265,0.00066869,0.002723,0.001678,0.002525
ST Thickness,,N/A,0.000900,0.001579,0.000939,0.002559,0.000129,0.002198,0.000854,0.003412,0.003225,0.001929,0.003754,0.001908,0.002979,0.002586,0.001802,0.000937,0.002719,0.000617,0.000819,0.002017,0.002439,0.003052,0.002804,0.001965,0.001416,0.001183,0.001839,0.000174,0.001020,0.004591,0.003632,0.000912,0.000344,0.000402,0.002666,0.000844,0.000767,0.001317,0.002355,0.000623,0.003731,0.000526,0.003628,0.001559,0.002879,0.002487,0.004304,0.001796,0.003002,0.002640,0.003151,0.003647,0.002701,0.001299,0.000403,0.002995,0.003612,0.001893,0.000673,0.004134,0.001566,0.002257,0.001482,0.000963,0.004621,0.004911,0.003150,0.000040,0.004339,0.003684,0.001640,0.001383,0.002590,0.001912,0.003234,0.005106,0.001587,0.000958,0.003636,0.003242,0.004002,0.001737,0.001616,0.000399,0.004647,0.005280,0.001668,0.001684,0.001395,0.003335,0.002738,0.001328,0.003592,0.002452,0.000519,0.000868,0.002549,0.001291,0.002210,0.000569,0.000556,0.002573,0.002683,0.001517,0.002862,0.002326,0.001174,0.000502,0.002832,0.000856,0.002875,0.001741,0.001825,0.003384,0.000674,0.002914,0.002367,0.003690,0.004462,0.003399,0.001613,0.000830,0.001798,0.000207,0.003854,0.001727,0.001937,0.002226,0.000545,0.002187,0.003502,0.000476,0.001842,0.002783,0.002765,0.002089,0.001320,0.003828,0.001621,0.001950,0.000492,0.000918,0.001897,0.000923,0.005106,0.001946,0.001426,0.001859,0.001646,0.004897,0.000779,0.002734,0.002827,0.000709,0.000966,0.003575,0.002863
