Design Study 1
Scenarios/Iterations:, 136
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136
Material,,N/A,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials
SSB Offset,,N/A,0.330039,0.330018,0.330014,0.330039,0.330010,0.330052,0.329949,0.330066,0.329992,0.330044,0.329939,0.330019,0.330079,0.329955,0.330005,0.330051,0.330061,0.330040,0.329997,0.330039,0.329945,0.330105,0.329963,0.330035,0.330011,0.330005,0.330031,0.329997,0.330005,0.330010,0.330064,0.329958,0.330033,0.330009,0.330033,0.330051,0.330006,0.330054,0.329981,0.330004,0.330052,0.330027,0.330059,0.330054,0.329946,0.330017,0.329953,0.330002,0.330175,0.330027,0.329946,0.330017,0.330031,0.330058,0.330059,0.330021,0.329944,0.330053,0.330014,0.329962,0.330040,0.329990,0.330022,0.329989,0.329959,0.330002,0.330028,0.330035,0.330000,0.330039,0.329943,0.330040,0.330000,0.329950,0.329999,0.329982,0.330025,0.330067,0.330054,0.329984,0.330054,0.329994,0.330009,0.330063,0.330049,0.330033,0.330001,0.329973,0.329941,0.330071,0.330052,0.330013,0.329993,0.329943,0.329979,0.330011,0.330081,0.330041,0.330088,0.330079,0.330036,0.329991,0.330016,0.330097,0.330066,0.329961,0.330015,0.329981,0.330001,0.329954,0.330036,0.329984,0.330058,0.330008,0.329948,0.330009,0.330021,0.330014,0.329987,0.329995,0.329995,0.330015,0.329951,0.329970,0.330007,0.329978,0.330021,0.329970,0.330013,0.330051,0.367435,0.330047,0.330177,0.329940,0.330035,0.330041,0.330026
CSB Offset,,N/A,0.299991,0.299990,0.350012,0.350011,0.299944,0.300067,0.349938,0.349986,0.349907,0.299984,0.300092,0.300023,0.349984,0.299945,0.299975,0.349901,0.350037,0.350031,0.299988,0.350023,0.349964,0.349939,0.350042,0.350024,0.350069,0.349921,0.349965,0.349993,0.300129,0.350050,0.300034,0.350009,0.349923,0.299912,0.350076,0.349984,0.350025,0.349953,0.350041,0.350206,0.299891,0.300021,0.349982,0.349916,0.349939,0.349972,0.300018,0.349971,0.349957,0.349998,0.299922,0.350000,0.349955,0.349958,0.349977,0.350073,0.349888,0.349955,0.349950,0.349919,0.349945,0.350024,0.299965,0.349929,0.300000,0.349969,0.350025,0.350002,0.300087,0.349691,0.350009,0.299975,0.300110,0.349971,0.350041,0.300100,0.350007,0.349973,0.381271,0.299933,0.349996,0.349776,0.299974,0.299944,0.350032,0.349937,0.300030,0.299833,0.349965,0.349896,0.299914,0.349974,0.349973,0.349971,0.349931,0.350050,0.350025,0.349997,0.349951,0.299888,0.350011,0.299990,0.349990,0.350150,0.349964,0.300072,0.349964,0.349892,0.349954,0.350025,0.349990,0.300101,0.349988,0.349931,0.375049,0.349940,0.350019,0.300140,0.350003,0.350035,0.349938,0.350025,0.349928,0.350036,0.300064,0.299935,0.300049,0.349988,0.349903,0.349949,0.300006,0.349983,0.299777,0.350170,0.300089,0.350009,0.300077
SS Z,,N/A,0.008965,0.008982,0.009158,0.009093,0.008045,0.009121,0.009155,0.008162,0.009129,0.009041,0.008924,0.008573,0.009035,0.008977,0.009096,0.015555,0.008971,0.008874,0.008837,0.009044,0.008892,0.008708,0.009018,0.009069,0.008820,0.009031,0.008883,0.008930,0.008974,0.009086,0.009056,0.008921,0.008975,0.008995,0.009249,0.008907,0.008246,0.009016,0.008986,0.009172,0.008938,0.009104,0.008988,0.008910,0.009028,0.008993,0.009085,0.009029,0.009335,0.009998,0.009211,0.009076,0.008991,0.008913,0.008930,0.007469,0.010509,0.008294,0.009079,0.008919,0.008889,0.008975,0.009035,0.008971,0.009030,0.009805,0.009032,0.008752,0.009124,0.009124,0.009113,0.008994,0.009035,0.008939,0.008990,0.009038,0.009004,0.009033,0.009053,0.008949,0.008863,0.009492,0.009070,0.009049,0.009053,0.009251,0.008983,0.009021,0.009018,0.008932,0.009005,0.008954,0.009001,0.008976,0.009087,0.009076,0.008735,0.008944,0.009064,0.009031,0.009004,0.009103,0.009473,0.008661,0.009144,0.008823,0.009222,0.008839,0.009014,0.009109,0.009066,0.009062,0.009110,0.008960,0.008925,0.008987,0.009069,0.008971,0.008887,0.008939,0.009046,0.008876,0.009169,0.008829,0.009064,0.008320,0.008835,0.009154,0.008276,0.009038,0.009189,0.009012,0.008548,0.009837,0.009893,0.008954,0.009293
SS Thickness,,N/A,0.004645,0.001188,0.001778,0.004934,0.006283,0.001032,0.001800,0.000581,0.001419,0.000577,0.003343,0.002334,0.003637,0.002639,0.001135,0.000804,0.003587,0.002693,0.000018,0.004131,0.002659,0.000862,0.000947,0.003427,0.003333,0.000604,0.003712,0.001143,0.001998,0.000268,0.002523,0.001510,0.002984,0.001659,0.003374,0.003843,0.002607,0.002832,0.001050,0.001066,0.003371,0.002071,0.001503,0.003052,0.000948,0.002916,0.003551,0.003625,0.002900,0.002829,0.003899,0.000248,0.002157,0.000535,0.001548,0.002910,0.001951,0.003642,0.001874,0.000557,0.000879,0.003498,0.000288,0.001680,0.003139,0.000774,0.002429,0.002474,0.002273,0.001578,0.000433,0.000259,0.001440,0.002468,0.002434,0.001005,0.001787,0.001856,0.000470,0.000602,0.001042,0.004174,0.000897,0.000500,0.003958,0.003616,0.003110,0.002893,0.002489,0.002706,0.002171,0.000189,0.000806,0.000662,0.001940,0.001642,0.001120,0.001430,0.001738,0.003187,0.000400,0.001526,0.003029,0.001986,0.001831,0.002669,0.003816,0.002576,0.000840,0.000823,0.000793,0.000315,0.003045,0.000928,0.002300,0.002588,0.004171,0.002849,0.001720,0.000624,0.003451,0.003364,0.003028,0.002729,0.001486,0.000961,0.002250,0.003476,0.002501,0.001073,0.001561,0.004933,0.006327,0.003496,0.004142,0.003082,0.000461
CS Thickness,,N/A,0.001438,0.002739,0.000944,0.001090,0.001239,0.002850,0.001926,0.002986,0.004472,0.003174,0.000552,0.002858,0.000253,0.002124,0.001053,0.003169,0.003887,0.000961,0.000972,0.001194,0.000944,0.002432,0.003844,0.000333,0.001674,0.000151,0.003068,0.003656,0.001453,0.000607,0.003328,0.002082,0.001042,0.001740,0.002233,0.004391,0.000977,0.002024,0.001411,0.003746,0.000016,0.002952,0.000456,0.003950,0.001551,0.000905,0.002669,0.002153,0.001485,0.002687,0.002685,0.000499,0.000598,0.003182,0.003381,0.002161,0.003156,0.000180,0.002610,0.001452,0.001490,0.004241,0.003263,0.000857,0.001563,0.002012,0.001997,0.000772,0.001534,0.002836,0.002060,0.000416,0.000525,0.002929,0.001867,0.001405,0.002531,0.001693,0.001777,0.003288,0.000980,0.001321,0.002427,0.000229,0.003325,0.003178,0.000635,0.001403,0.004583,0.003010,0.000998,0.003319,0.002136,0.003443,0.001203,0.002900,0.002337,0.003122,0.001725,0.002836,0.000778,0.001413,0.002710,0.002107,0.000695,0.000876,0.001727,0.002178,0.002354,0.002544,0.001430,0.001449,0.002319,0.000820,0.001321,0.000389,0.004447,0.003786,0.002777,0.004065,0.002565,0.002489,0.003081,0.001803,0.003067,0.004559,0.000500,0.002060,0.002214,0.001707,0.001362,0.002101,0.002624,0.002110,0.004435,0.003385,0.001800
TT Thickness,,N/A,0.003707,0.001987,0.003849,0.001375,0.003779,0.002645,0.000548,0.003840,0.002858,0.002528,0.000779,0.001966,0.005678,0.002545,0.003008,0.004721,0.001994,0.001973,0.002662,0.005202,0.003422,0.003335,0.000549,0.001714,0.003174,0.000689,0.001882,0.002703,0.003776,0.002849,0.004821,0.002573,0.001925,0.002851,0.000785,0.003926,0.001566,0.000679,0.002383,0.001620,0.002933,0.002346,0.000334,0.000056,0.003330,0.003003,0.001815,0.001842,0.000278,0.001523,0.001396,0.002440,0.003156,0.003744,0.000462,0.001542,0.004032,0.000414,0.001689,0.002628,0.004526,0.003105,0.003340,0.001293,0.002231,0.003136,0.002325,0.005037,0.002306,0.002445,0.001620,0.000963,0.002235,0.003472,0.002241,0.004924,0.002412,0.000214,0.001811,0.002992,0.003368,0.000941,0.001436,0.002018,0.002089,0.002258,0.002474,0.003584,0.000900,0.001129,0.003122,0.002775,0.000663,0.000626,0.004833,0.001889,0.003562,0.001413,0.001588,0.000546,0.003499,0.006017,0.001437,0.003514,0.003213,0.002773,0.000399,0.003091,0.002623,0.002522,0.003787,0.001361,0.003896,0.003515,0.001917,0.002792,0.003445,0.002691,0.001588,0.000316,0.002789,0.002484,0.002911,0.002052,0.001437,0.003263,0.000767,0.001881,0.002466,0.003487,0.002882,0.003811,0.002506,0.003145,0.003958,0.001485,0.001375
BB Thickness,,m,0.001042,0.003897,0.002323,0.001785,0.00062581,0.002514,0.00216,0.001401,0.001306,0.001596,0.002845,0.002752,0.002311,0.002155,0.00329,0.003013,0.002703,0.002926,0.003642,0.004148,0.00351,0.003568,0.00027254,0.003265,0.00105,0.004063,0.00081815,0.0031,0.002765,1.45e-05,0.002099,0.00176,0.002418,0.00167,0.003109,0.001748,0.004206,0.001415,0.00097543,0.002341,0.002516,0.003365,0.001949,0.002344,0.003889,5.221e-05,0.001743,0.001858,0.003006,0.003711,0.005012,0.002482,0.0002631,0.00051554,0.001054,0.001439,0.002509,0.003142,0.00095035,0.00232,0.001875,0.001588,0.003472,0.001858,0.001638,4.265e-05,0.003543,0.003031,0.003503,0.001759,0.002331,0.002126,0.002167,0.00096443,0.002637,0.005916,0.00026066,0.00045596,0.002341,0.00218,0.003429,0.003192,0.006084,0.002844,0.001657,0.001497,0.002485,0.001358,0.001066,0.001577,0.002051,0.00090161,0.002976,0.005935,0.002904,0.003427,0.00274,0.003652,0.003018,0.001344,0.001875,0.003755,0.001624,0.007281,0.002766,0.002444,0.00313,0.00298,0.001448,0.00473,0.002391,0.001319,0.003612,0.001542,0.00072317,0.001922,0.003615,0.003854,0.00075058,0.003555,0.001001,0.002899,0.004416,0.002158,0.00033628,0.001422,0.002024,0.00485,0.002689,0.001255,0.002557,0.001486,0.00053968,0.001725,0.002407,0.001501,0.001945
HT Thickness,,m,0.003515,0.001005,0.003347,0.001505,0.00057434,0.00045626,0.002653,0.002999,0.00398,0.001534,0.002795,0.001227,0.00267,0.002251,0.001059,0.002213,0.001124,0.00096173,0.002226,0.0001098,0.001937,0.001073,0.00052657,0.001455,0.002371,0.00080473,0.003162,0.002981,0.00202,0.001499,0.002898,0.00218,0.001249,0.002206,0.002207,0.001766,0.002307,0.001372,0.002511,0.00033489,0.003374,0.002793,0.003671,0.00043969,0.002619,0.00029036,0.0004831,0.004393,0.001953,0.00079729,0.001235,0.00064139,0.001314,0.005678,0.0005674,0.004363,0.00149,0.004456,0.00078787,0.002105,0.003583,0.00053259,7.12e-05,0.003085,0.001199,0.00172,0.001722,0.002966,0.00046974,0.002191,0.002268,0.001388,0.001545,0.00324,0.00047427,0.00032697,0.002017,0.001551,0.001704,0.003099,0.001838,0.003318,0.002653,0.000759,0.004818,0.00287,0.002472,0.003154,0.00092133,0.001222,0.001039,0.001581,0.003346,0.001559,0.003647,0.001794,0.00016182,0.003186,0.001463,0.001653,0.001333,0.003711,0.0023,0.001919,0.003576,0.002434,0.001919,0.003417,0.003596,0.002338,0.001087,0.002349,0.003024,0.00020564,0.002406,0.001019,0.003331,0.00076688,0.001285,0.002562,0.00151,0.003274,0.003856,0.00355,0.003685,0.00209,0.002527,0.001292,0.002267,0.001719,0.001093,0.001723,0.002825,0.00013152,9.83e-05,0.001191,0.002514
ST Thickness,,N/A,0.002559,0.001393,0.001741,0.001796,0.002399,0.000093,0.000482,0.003365,0.001044,0.001410,0.004251,0.002469,0.001020,0.001361,0.002819,0.001196,0.003362,0.001342,0.002712,0.000237,0.004787,0.001666,0.002121,0.001075,0.004422,0.000516,0.002013,0.003013,0.003511,0.003153,0.002883,0.000280,0.004452,0.006713,0.000520,0.000587,0.000724,0.000069,0.003885,0.001661,0.004621,0.000451,0.001575,0.002941,0.002512,0.002724,0.004857,0.004128,0.000732,0.000132,0.002604,0.000505,0.001785,0.001474,0.001663,0.002381,0.004008,0.003418,0.000778,0.003592,0.001216,0.004502,0.000068,0.008835,0.002919,0.003420,0.001119,0.004157,0.000825,0.001983,0.000507,0.000015,0.002695,0.001254,0.002007,0.002337,0.001782,0.003416,0.001781,0.001822,0.003297,0.000269,0.002755,0.001924,0.002222,0.001405,0.000203,0.002566,0.002060,0.002566,0.001790,0.002041,0.005425,0.003286,0.001547,0.004034,0.001752,0.001833,0.003771,0.001003,0.002368,0.000765,0.003581,0.002256,0.003247,0.001264,0.003658,0.003308,0.001154,0.001018,0.002936,0.001359,0.003244,0.000049,0.002664,0.000271,0.000529,0.001042,0.001058,0.004491,0.004194,0.002901,0.002507,0.003182,0.000634,0.002753,0.000033,0.003554,0.002084,0.001101,0.000938,0.002167,0.000872,0.001597,0.004448,0.003209,0.001014
DT Thickness,,m,0.001404,0.00149,0.001609,0.002299,0.001019,0.002486,0.004886,0.00419,0.001897,0.002294,0.002349,0.004503,0.002893,0.003302,0.001159,0.002881,0.002294,0.001272,0.001742,0.001895,0.002266,0.003091,0.002379,0.002403,0.00279,0.002303,0.002701,0.003594,0.001446,0.003719,0.003601,0.001094,0.001799,0.002776,0.001785,0.00041501,0.001975,0.001315,0.003823,0.002206,0.001889,0.003711,0.00065262,0.00072102,0.002265,0.001902,0.00138,0.001582,0.002,0.00059589,0.003006,0.00029007,0.002854,0.001704,0.002741,0.001048,0.001154,0.003755,0.004297,0.00029866,0.00186,0.002089,0.001198,0.00633,0.002819,0.002472,0.00057056,0.002296,0.003733,0.001927,0.002585,0.002934,0.002222,0.002933,0.001811,0.003361,0.00299,0.001759,0.001273,0.003244,0.003799,0.00211,0.00042967,0.001279,0.002979,2.06e-05,0.002915,0.00216,0.004124,0.003751,0.002223,0.001831,0.001958,0.00219,0.001216,0.001372,0.001231,0.002811,0.001422,0.002398,0.00049086,0.0001525,0.003068,0.00317,0.005845,0.002993,0.001244,0.003058,0.002897,0.002202,0.00016084,0.003009,0.003372,0.002146,0.002153,0.002254,0.001258,0.001787,0.002706,0.003582,0.004589,0.001985,0.00051157,0.003564,0.002766,0.002589,0.002251,0.001171,0.002512,0.002062,0.001247,0.002743,0.003573,0.002724,0.001293,0.00336,0.001464
DT Length,,N/A,0.631232,0.626108,0.662218,0.637836,0.667819,0.611912,0.693094,0.634938,0.711000,0.629633,0.762267,0.616923,0.663078,0.612299,0.666393,0.634775,0.666065,0.683555,0.534173,0.633129,0.645218,0.660837,0.631575,0.698619,0.639250,0.659764,0.655467,0.557177,0.652944,0.501594,0.650610,0.664920,0.629081,0.638423,0.616194,0.621835,0.657251,0.665975,0.657083,0.648988,0.470720,0.636403,0.611169,0.652967,0.629825,0.633814,0.739714,0.631588,0.680149,0.661948,0.651874,0.638179,0.655839,0.703244,0.639368,0.613433,0.673190,0.695975,0.656093,0.637273,0.644071,0.632284,0.631824,0.539579,0.675835,0.651445,0.681176,0.659410,0.619618,0.650478,0.659326,0.552747,0.459077,0.652428,0.593728,0.512954,0.616672,0.602531,0.730843,0.655960,0.645932,0.653852,0.663172,0.628482,0.655664,0.707434,0.474114,0.651662,0.637129,0.635945,0.638034,0.659402,0.768919,0.641342,0.634569,0.596546,0.668733,0.644451,0.680964,0.636311,0.715152,0.657492,0.702502,0.647657,0.616379,0.640781,0.620229,0.732333,0.626070,0.651776,0.660040,0.641156,0.663459,0.641165,0.814099,0.636118,0.613960,0.736137,0.623611,0.707498,0.648788,0.631098,0.626013,0.511273,0.655951,0.665120,0.488543,0.650927,0.641913,0.699252,0.639815,0.683261,0.674965,0.693792,0.635390,0.644171,0.633802
