Design Study 1
Scenarios/Iterations:, 104
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104
CSB OD,,N/A,0.017739,0.000000,0.000000,0.017642,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017598,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017925,0.000000,0.000000,0.000000,0.000000,0.000000,0.017631,0.017688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017723,0.017751,0.017946,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017676,0.000000,0.017731,0.017658,0.000000,0.000000,0.017711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018009,0.000000,0.000000,0.017738,0.000000,0.000000,0.000000,0.000000,0.017626,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Material,,N/A,,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials
SSB Offset,,N/A,0.330039,0.328640,0.329909,0.329009,0.334003,0.328487,0.328070,0.331865,0.329210,0.331266,0.327450,0.328447,0.329242,0.329641,0.328835,0.326970,0.329482,0.328953,0.327257,0.329946,0.328828,0.327504,0.330737,0.333235,0.334246,0.335011,0.330104,0.332960,0.328563,0.330369,0.328581,0.335867,0.328017,0.330704,0.329853,0.328904,0.328624,0.333273,0.329341,0.336503,0.330100,0.329156,0.334220,0.328045,0.329089,0.330379,0.330192,0.331541,0.329819,0.330574,0.328090,0.338031,0.332638,0.329443,0.329526,0.330437,0.330577,0.331162,0.328852,0.329173,0.330149,0.331236,0.329878,0.335815,0.329517,0.333587,0.335739,0.328110,0.329074,0.333298,0.329646,0.326626,0.332789,0.331243,0.329106,0.332700,0.331685,0.329157,0.330284,0.336011,0.328226,0.330020,0.336824,0.333835,0.330376,0.332247,0.329866,0.334679,0.328609,0.329424,0.335332,0.328104,0.328340,0.329325,0.329912,0.334867,0.334626,0.332992,0.337412,0.329144,0.329367,0.328827,0.330591,0.327847,0.339446
CSB Offset,,N/A,0.299991,0.328557,0.331058,0.371007,0.327738,0.326259,0.333372,0.336025,0.330247,0.327482,0.335889,0.323825,0.334425,0.347464,0.334562,0.332035,0.321703,0.345987,0.333596,0.381266,0.328499,0.334168,0.325536,0.326012,0.324303,0.323688,0.384366,0.362671,0.341047,0.338569,0.321654,0.374250,0.323872,0.327182,0.334744,0.331673,0.335439,0.321409,0.330852,0.385607,0.333597,0.326005,0.392640,0.327527,0.335380,0.326973,0.329847,0.322825,0.365267,0.398836,0.328702,0.335523,0.333851,0.326626,0.329822,0.319710,0.350261,0.332771,0.327141,0.391369,0.378203,0.383401,0.361758,0.354990,0.354016,0.379307,0.328389,0.332992,0.352158,0.330050,0.370514,0.361619,0.330260,0.328327,0.362374,0.372309,0.333308,0.331796,0.358958,0.357167,0.334391,0.347032,0.326760,0.388857,0.335061,0.356374,0.365810,0.326505,0.334976,0.328406,0.382311,0.363602,0.329392,0.327456,0.326950,0.383104,0.338134,0.327846,0.322435,0.337557,0.323776,0.331232,0.324854,0.335003,0.333274
SS Z,,N/A,0.008965,0.009000,0.008766,0.008748,0.008713,0.009208,0.008696,0.008632,0.008847,0.008814,0.008937,0.010150,0.008943,0.009130,0.009017,0.008924,0.008957,0.008581,0.009023,0.008731,0.009227,0.009066,0.008900,0.008688,0.008809,0.008900,0.008894,0.008685,0.008657,0.009048,0.009077,0.008813,0.009835,0.009092,0.008558,0.008783,0.008777,0.009506,0.009120,0.008720,0.009094,0.009119,0.008722,0.008969,0.008807,0.008973,0.008854,0.008975,0.008584,0.008251,0.009385,0.008917,0.008755,0.008744,0.008792,0.009046,0.008945,0.008840,0.009239,0.008828,0.008860,0.008816,0.008629,0.008762,0.008500,0.008784,0.009016,0.009224,0.008943,0.008615,0.008923,0.008727,0.008930,0.008883,0.008957,0.008705,0.008772,0.008757,0.008911,0.008769,0.008754,0.008914,0.008963,0.008711,0.008688,0.008820,0.008928,0.008809,0.008953,0.009318,0.008776,0.008692,0.008872,0.008974,0.009026,0.008653,0.008980,0.008811,0.009014,0.009068,0.008951,0.009082,0.009009,0.008800,0.008758
SS Thickness,,N/A,0.004645,0.002869,0.003043,0.002210,0.002893,0.002636,0.009339,0.002550,0.002780,0.002834,0.002754,0.001771,0.002315,0.000724,0.002163,0.002795,0.003102,0.005463,0.002255,0.001946,0.002294,0.001957,0.002791,0.003156,0.002539,0.002540,0.001080,0.001983,0.004351,0.000997,0.003588,0.000793,0.002447,0.001948,0.005223,0.005345,0.003869,0.001839,0.001658,0.001550,0.001214,0.002354,0.001326,0.003023,0.002408,0.002452,0.002458,0.002476,0.002551,0.002508,0.002217,0.001278,0.002450,0.006380,0.003582,0.002908,0.001388,0.002258,0.002088,0.001571,0.001569,0.000920,0.002421,0.001867,0.004993,0.001397,0.001645,0.001886,0.001911,0.002836,0.001582,0.002362,0.001999,0.002563,0.001611,0.001782,0.002288,0.004884,0.001507,0.001673,0.006593,0.001793,0.001638,0.001561,0.002205,0.001773,0.001455,0.002491,0.002270,0.001653,0.001395,0.002682,0.006092,0.002580,0.002394,0.001316,0.001193,0.002605,0.002078,0.001370,0.003022,0.001874,0.002371,0.003605,0.001832
CS Thickness,,N/A,0.001438,0.000950,0.001052,0.001861,0.000751,0.000749,0.000026,0.001599,0.000527,0.001075,0.000967,0.000158,0.001452,0.001492,0.001331,0.000278,0.000402,0.000764,0.000508,0.002219,0.000873,0.000563,0.000842,0.000554,0.000882,0.000951,0.002424,0.002240,0.000823,0.001550,0.000106,0.002736,0.000182,0.000908,0.000595,0.000619,0.001008,0.000365,0.000934,0.002604,0.001616,0.000926,0.002814,0.000344,0.001387,0.000694,0.001367,0.000908,0.001670,0.001620,0.000677,0.002110,0.001603,0.000076,0.000812,0.000274,0.002227,0.001747,0.000535,0.002058,0.002371,0.002631,0.001589,0.002150,0.000840,0.002740,0.001569,0.000831,0.001743,0.000925,0.002052,0.000483,0.001664,0.000836,0.001681,0.002444,0.001711,0.000682,0.002278,0.002384,0.000511,0.001790,0.001437,0.002381,0.001545,0.002373,0.002165,0.001125,0.001210,0.000641,0.002756,0.001270,0.000387,0.000522,0.001076,0.002641,0.002137,0.001213,0.000249,0.001139,0.000222,0.000742,0.001061,0.000788,0.001670
TT Thickness,,N/A,0.003707,0.001705,0.001713,0.001155,0.001416,0.001547,0.002745,0.001191,0.001721,0.001569,0.001579,0.000926,0.001412,0.000103,0.001337,0.001882,0.001776,0.002140,0.001458,0.001020,0.001426,0.001188,0.001577,0.001566,0.001176,0.001250,0.000456,0.000992,0.002087,0.000280,0.002089,0.000026,0.001542,0.000896,0.001932,0.002152,0.001899,0.000608,0.000900,0.000654,0.000567,0.001350,0.000534,0.002038,0.001050,0.001344,0.001316,0.001333,0.001317,0.000889,0.001213,0.000387,0.001240,0.002414,0.001842,0.001612,0.000742,0.001234,0.001286,0.000752,0.000856,0.000265,0.001270,0.000840,0.001889,0.000608,0.000730,0.001075,0.001132,0.001166,0.000853,0.001265,0.001089,0.001402,0.000876,0.000898,0.001181,0.002089,0.000847,0.000737,0.002390,0.000965,0.000623,0.000632,0.000839,0.000947,0.000792,0.001203,0.001403,0.000856,0.000591,0.001465,0.002279,0.001593,0.001393,0.000316,0.000471,0.001359,0.000505,0.000600,0.001878,0.001117,0.001309,0.002066,0.000585
BB Thickness,,m,0.001042,0.003146,0.002865,0.009191,0.002379,0.003021,0.003061,0.005186,0.001985,0.002624,0.006117,0.00256,0.00314,0.006696,0.003447,0.002699,0.00249,0.004264,0.002963,0.009389,0.002726,0.002994,0.002245,0.002307,0.002682,0.002466,0.01182,0.008444,0.003398,0.004289,0.001966,0.01185,0.002427,0.002226,0.003008,0.003002,0.005036,0.001722,0.002662,0.01141,0.005423,0.003054,0.01281,0.002213,0.007177,0.002026,0.003311,0.002527,0.005815,0.009136,0.003814,0.006507,0.003103,0.001808,0.002866,0.001719,0.007338,0.003987,0.002251,0.01148,0.009412,0.01274,0.004067,0.00681,0.005351,0.01085,0.003192,0.003167,0.006927,0.003045,0.007571,0.004715,0.003322,0.00219,0.005979,0.009846,0.00457,0.002906,0.008157,0.008458,0.003791,0.004115,0.003664,0.00957,0.006791,0.007519,0.008675,0.002803,0.00306,0.002288,0.01111,0.006609,0.003,0.001962,0.002616,0.01264,0.006094,0.002816,0.001774,0.003059,0.00171,0.002493,0.002575,0.003546,0.005285
HT Thickness,,m,0.003515,0.003692,0.008326,0.006113,0.01368,0.003604,0.006701,0.009513,0.01193,0.009003,0.005151,0.006094,0.00739,0.007949,0.006947,0.008866,0.004106,0.008539,0.00887,0.007984,0.006224,0.009164,0.01015,0.01153,0.00777,0.009434,0.006346,0.009083,0.008744,0.009306,0.006466,0.006482,0.005853,0.01033,0.00945,0.006289,0.005441,0.01123,0.008643,0.01141,0.006153,0.003693,0.007909,0.008538,0.003826,0.01176,0.005525,0.006183,0.009823,0.01404,0.004403,0.009097,0.01084,0.01104,0.006491,0.009195,0.006869,0.007384,0.008365,0.007222,0.007565,0.005613,0.01148,0.01174,0.009343,0.007679,0.007848,0.007212,0.006189,0.00933,0.008089,0.01037,0.007198,0.01261,0.008863,0.008343,0.007347,0.007319,0.006421,0.009206,0.006115,0.009445,0.007007,0.0121,0.005319,0.007989,0.006504,0.008603,0.008386,0.009294,0.008772,0.007984,0.004611,0.0106,0.006572,0.007341,0.008562,0.008577,0.01476,0.01004,0.009932,0.009746,0.006975,0.007017,0.01136
ST Thickness,,N/A,0.002559,0.005733,0.003129,0.004600,0.003045,0.006920,0.002283,0.003999,0.002456,0.004782,0.003379,0.009001,0.004068,0.010086,0.005008,0.002680,0.007168,0.002428,0.003085,0.004466,0.006019,0.003907,0.003678,0.004235,0.008927,0.007442,0.009378,0.005221,0.002398,0.008510,0.003751,0.012149,0.006239,0.006052,0.002645,0.002909,0.003016,0.007913,0.006543,0.004761,0.010267,0.008302,0.007860,0.002787,0.007097,0.003099,0.007315,0.009009,0.002825,0.002376,0.007356,0.010426,0.003182,0.002232,0.003472,0.005267,0.008652,0.006564,0.005413,0.006001,0.006261,0.011264,0.002592,0.004197,0.002420,0.008046,0.010402,0.006086,0.006075,0.006167,0.005386,0.002665,0.008304,0.002923,0.004745,0.006357,0.006750,0.002846,0.008030,0.007449,0.002625,0.004088,0.012132,0.003654,0.008401,0.006697,0.007729,0.007792,0.003144,0.006753,0.007397,0.002829,0.003018,0.002929,0.006483,0.009324,0.009339,0.006452,0.005749,0.005952,0.002926,0.004608,0.007638,0.002616,0.008149
DT Thickness,,m,0.001404,0.001488,0.002333,0.002429,0.003045,0.001172,0.001238,0.002838,0.002089,0.00258,0.001454,0.00065583,0.002197,0.002022,0.001926,0.001193,0.001406,0.001916,0.001291,0.003004,0.001499,0.001352,0.002617,0.002585,0.002272,0.002706,0.002866,0.004016,0.001827,0.002594,0.00132,0.004722,0.00078576,0.002515,0.001993,0.001761,0.001846,0.002396,0.001877,0.006318,0.002038,0.001368,0.005703,0.001498,0.001921,0.00261,0.00218,0.002059,0.002712,0.002814,0.00098711,0.004543,0.003105,0.001935,0.00196,0.002094,0.002842,0.002758,0.001556,0.002527,0.002994,0.003167,0.00267,0.005207,0.001968,0.005189,0.002817,0.001309,0.002158,0.00242,0.002609,0.001238,0.002713,0.002906,0.002311,0.0047,0.002726,0.001917,0.002807,0.005303,0.00156,0.002728,0.002697,0.005308,0.00242,0.003809,0.002604,0.002567,0.001976,0.001796,0.006039,0.002007,0.001365,0.00208,0.002022,0.005315,0.003178,0.002619,0.003159,0.002135,0.001909,0.001843,0.002208,0.001602,0.00434
DT Length,,N/A,0.631232,0.659799,0.715324,0.695016,0.785769,0.647128,0.644633,0.773750,0.653606,0.741458,0.646076,0.640116,0.671403,0.674290,0.652528,0.635753,0.681498,0.665949,0.637231,0.719767,0.645637,0.638505,0.721132,0.784669,0.773943,0.761938,0.728504,0.770050,0.651102,0.680657,0.643861,0.786662,0.637974,0.688929,0.716824,0.675128,0.670553,0.690106,0.646577,0.802487,0.687950,0.657338,0.784439,0.642151,0.706120,0.693986,0.719872,0.715684,0.717295,0.758953,0.645564,0.781780,0.760693,0.677683,0.698214,0.688075,0.718184,0.734626,0.642128,0.702605,0.717707,0.760302,0.711334,0.789462,0.695598,0.767446,0.744276,0.643775,0.679865,0.798196,0.694462,0.639007,0.731380,0.723476,0.668936,0.765840,0.751178,0.685048,0.715912,0.788990,0.648136,0.695583,0.762805,0.768492,0.757188,0.744945,0.706413,0.775812,0.648238,0.644845,0.782771,0.658423,0.653196,0.649156,0.677577,0.804029,0.740442,0.759345,0.762386,0.647055,0.656476,0.643624,0.703546,0.645873,0.830976
Min FS 1,Monitor Only,,3.640e+00,9.741e-01,1.670e+00,1.248e+00,1.849e+00,8.528e-01,4.769e-01,1.744e+00,1.537e+00,1.368e+00,1.014e+00,6.157e-01,1.287e+00,7.509e-01,1.096e+00,1.088e+00,8.742e-01,1.750e+00,9.554e-01,1.478e+00,9.091e-01,1.559e+00,1.473e+00,1.323e+00,9.985e-01,1.160e+00,1.203e+00,1.765e+00,1.639e+00,1.891e+00,9.203e-01,Simulation Eccentric Stiffness (3) fails.,7.151e-01,1.050e+00,1.792e+00,1.534e+00,1.425e+00,8.435e-01,8.716e-01,4.326e-01,9.714e-01,8.579e-01,4.102e-01,1.180e+00,1.036e+00,1.622e+00,1.132e+00,9.438e-01,1.784e+00,2.318e+00,7.713e-01,1.401e+00,1.885e+00,1.057e+00,1.383e+00,9.887e-01,1.333e+00,1.526e+00,7.989e-01,1.197e+00,1.383e+00,1.146e+00,1.884e+00,2.013e+00,1.790e+00,1.611e+00,1.106e+00,7.925e-01,1.110e+00,1.274e+00,1.262e+00,9.709e-01,1.278e+00,1.794e+00,1.176e+00,1.672e+00,1.523e+00,1.621e+00,1.355e+00,1.711e+00,1.507e+00,1.435e+00,1.072e+00,4.420e-01,1.229e+00,1.524e+00,1.245e+00,1.121e+00,1.208e+00,Simulation Eccentric Stiffness (3) fails.,4.456e-01,1.310e+00,1.348e+00,1.315e+00,9.969e-01,1.478e+00,1.316e+00,1.221e+00,1.091e+00,1.839e+00,1.163e+00,1.835e+00,9.810e-01,1.374e+00,1.654e+00
Max Stress 1,Monitor Only, N/m^2,2.273e+08,4.722e+08,2.754e+08,3.687e+08,2.488e+08,5.394e+08,9.646e+08,2.637e+08,2.993e+08,3.361e+08,4.537e+08,7.471e+08,3.575e+08,6.126e+08,4.197e+08,4.227e+08,5.262e+08,2.628e+08,4.815e+08,3.112e+08,5.060e+08,5.308e+08,3.123e+08,3.476e+08,4.607e+08,3.965e+08,3.825e+08,2.607e+08,2.806e+08,4.376e+08,4.999e+08,Simulation Eccentric Stiffness (3) fails.,6.433e+08,4.383e+08,2.566e+08,2.998e+08,3.229e+08,5.453e+08,5.278e+08,1.063e+09,4.736e+08,5.362e+08,1.121e+09,3.899e+08,4.438e+08,2.837e+08,4.062e+08,4.874e+08,2.578e+08,1.984e+08,5.964e+08,3.283e+08,2.440e+08,4.350e+08,3.325e+08,4.653e+08,3.450e+08,3.015e+08,5.758e+08,3.843e+08,3.326e+08,4.015e+08,2.442e+08,2.285e+08,2.570e+08,2.855e+08,4.158e+08,5.805e+08,4.142e+08,3.612e+08,3.646e+08,4.738e+08,3.599e+08,2.564e+08,3.910e+08,2.751e+08,3.020e+08,2.838e+08,3.394e+08,2.688e+08,3.053e+08,3.206e+08,4.289e+08,1.041e+09,3.744e+08,3.019e+08,3.695e+08,4.105e+08,3.809e+08,Simulation Eccentric Stiffness (3) fails.,1.032e+09,3.512e+08,3.413e+08,3.497e+08,4.614e+08,3.111e+08,3.495e+08,3.766e+08,4.217e+08,4.500e+08,3.956e+08,4.509e+08,4.689e+08,3.347e+08,2.782e+08
Min FS 3,Monitor Only,,2.577e+00,6.792e-01,9.305e-01,8.693e-01,8.643e-01,6.212e-01,6.968e-01,9.692e-01,8.232e-01,7.589e-01,7.571e-01,4.926e-01,8.978e-01,6.044e-01,8.523e-01,7.015e-01,5.347e-01,9.555e-01,7.246e-01,9.759e-01,6.815e-01,1.234e+00,8.082e-01,6.501e-01,5.801e-01,6.665e-01,8.103e-01,1.076e+00,9.490e-01,1.399e+00,5.533e-01,Simulation Eccentric Stiffness (3) fails.,5.197e-01,6.662e-01,8.984e-01,8.702e-01,8.733e-01,5.222e-01,6.607e-01,1.116e+00,7.083e-01,6.434e-01,1.077e+00,7.107e-01,6.905e-01,8.730e-01,7.204e-01,6.164e-01,9.952e-01,1.082e+00,6.038e-01,9.222e-01,1.044e+00,7.425e-01,7.775e-01,5.691e-01,9.259e-01,9.958e-01,5.611e-01,8.303e-01,9.377e-01,7.869e-01,1.005e+00,1.153e+00,9.058e-01,1.040e+00,7.614e-01,6.259e-01,8.137e-01,6.582e-01,8.932e-01,6.897e-01,8.625e-01,9.007e-01,8.802e-01,1.066e+00,9.615e-01,8.859e-01,9.367e-01,1.077e+00,8.747e-01,9.705e-01,7.333e-01,1.141e+00,7.690e-01,1.013e+00,8.657e-01,6.451e-01,8.863e-01,Simulation Eccentric Stiffness (3) fails.,1.173e+00,8.794e-01,8.076e-01,7.597e-01,6.667e-01,9.515e-01,9.023e-01,6.979e-01,5.411e-01,1.355e+00,6.465e-01,1.300e+00,6.504e-01,8.573e-01,9.433e-01
Max Stress 3,Monitor Only, N/m^2,3.211e+08,6.773e+08,4.943e+08,5.292e+08,5.322e+08,7.405e+08,6.601e+08,4.746e+08,5.588e+08,6.062e+08,6.076e+08,9.338e+08,5.123e+08,7.611e+08,5.397e+08,6.558e+08,8.602e+08,4.814e+08,6.349e+08,4.714e+08,6.750e+08,6.702e+08,5.692e+08,7.076e+08,7.930e+08,6.902e+08,5.677e+08,4.273e+08,4.847e+08,5.914e+08,8.314e+08,Simulation Eccentric Stiffness (3) fails.,8.850e+08,6.905e+08,5.120e+08,5.286e+08,5.268e+08,8.809e+08,6.963e+08,4.124e+08,6.494e+08,7.150e+08,4.271e+08,6.472e+08,6.661e+08,5.269e+08,6.385e+08,7.463e+08,4.622e+08,4.253e+08,7.619e+08,4.988e+08,4.405e+08,6.196e+08,5.917e+08,8.083e+08,4.968e+08,4.619e+08,8.198e+08,5.540e+08,4.906e+08,5.846e+08,4.578e+08,3.991e+08,5.078e+08,4.423e+08,6.042e+08,7.350e+08,5.653e+08,6.988e+08,5.150e+08,6.670e+08,5.333e+08,5.107e+08,5.226e+08,4.315e+08,4.784e+08,5.193e+08,4.911e+08,4.271e+08,5.259e+08,4.740e+08,6.273e+08,4.032e+08,5.982e+08,4.542e+08,5.313e+08,7.131e+08,5.190e+08,Simulation Eccentric Stiffness (3) fails.,3.921e+08,5.231e+08,5.696e+08,6.055e+08,6.900e+08,4.834e+08,5.098e+08,6.592e+08,8.500e+08,6.108e+08,7.116e+08,6.364e+08,7.072e+08,5.366e+08,4.877e+08
