Design Study 1
Scenarios/Iterations:, 140
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140
Material,,N/A,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials
SSB Offset,,N/A,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330588,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.300000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.370000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000
CSB Offset,,N/A,0.300000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.300000,0.350000,0.300000,0.350000,0.350000,0.350000,0.300000,0.300000,0.350000,0.350000,0.350000,0.300000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.300000,0.350000,0.350000,0.350000,0.350000,0.351487,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.300000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.300000,0.300000,0.350000,0.300000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.300000,0.300000,0.300000,0.300000,0.350000,0.350000,0.350000,0.350000,0.300000,0.350000,0.300000,0.350000,0.300000,0.350000,0.300000,0.300000,0.350000,0.350000,0.300000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.300000,0.300000,0.300000,0.300000,0.350000,0.350000,0.350000,0.350000,0.300000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.300000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.351494,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.360000,0.272979,0.350000,0.300000,0.357000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.352989,0.300000,0.300000,0.350000,0.350000,0.350000,0.300000,0.350000,0.300000,0.300000,0.350000,0.300000
SS Z,,N/A,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.011200,0.009000,0.009000,0.009000,0.011200,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.007000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.011200,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.012300,0.012300,0.009000,0.009000,0.009000,0.012300,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.015000,0.018000,0.009000,0.018000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000
SS Thickness,,N/A,0.006336,0.001959,0.000573,0.000594,0.006722,0.008837,0.000549,0.001442,0.004005,0.000602,0.002267,0.005757,0.000658,0.002756,0.004223,0.001622,0.001189,0.001801,0.007458,0.000516,0.001883,0.001054,0.001564,0.001098,0.000612,0.000764,0.006968,0.004463,0.003420,0.003775,0.006529,0.005640,0.004586,0.004941,0.003688,0.003341,0.002053,0.004582,0.001350,0.000671,0.002402,0.001408,0.005711,0.001876,0.006557,0.006601,0.000912,0.000617,0.000566,0.000752,0.000505,0.002687,0.001139,0.009251,0.005378,0.000606,0.001666,0.000684,0.001430,0.006553,0.000672,0.005954,0.005036,0.005677,0.001186,0.007551,0.000765,0.001537,0.001572,0.001506,0.006287,0.000828,0.000806,0.004079,0.000880,0.000720,0.002466,0.003171,0.001841,0.003645,0.003058,0.001005,0.001013,0.009676,0.006020,0.001763,0.001708,0.000842,0.000840,0.002785,0.000983,0.000730,0.007122,0.001042,0.000520,0.007960,0.001869,0.009808,0.003022,0.001314,0.000825,0.002131,0.000644,0.005043,0.001623,0.003867,0.000549,0.000793,0.003709,0.006717,0.000903,0.006872,0.002057,0.003380,0.000714,0.005566,0.005312,0.003631,0.000875,0.005178,0.002791,0.001229,0.003742,0.003891,0.000629,0.000532,0.008280,0.002450,0.000522,0.000580,0.004841,0.003117,0.002617,0.004338,0.002704,0.000902,0.004602,0.008690,0.001627,0.000617,0.000717
CS Thickness,,N/A,0.000582,0.005382,0.000663,0.001176,0.004354,0.001106,0.002271,0.001442,0.002899,0.004739,0.000904,0.000910,0.005304,0.001078,0.000991,0.000514,0.000617,0.008439,0.003420,0.001631,0.003862,0.000694,0.001685,0.006429,0.001060,0.002269,0.006591,0.002512,0.002687,0.004827,0.002742,0.001245,0.004164,0.000751,0.001054,0.001891,0.007469,0.004880,0.001284,0.004127,0.002438,0.000882,0.002495,0.002859,0.006664,0.000766,0.007864,0.001265,0.000766,0.009840,0.000926,0.000576,0.007773,0.002072,0.001384,0.002137,0.003682,0.000874,0.005583,0.001330,0.002005,0.005707,0.001487,0.001094,0.009790,0.001400,0.002039,0.005273,0.002748,0.000519,0.000698,0.001251,0.001453,0.008601,0.003728,0.004988,0.001946,0.008892,0.003881,0.002720,0.003910,0.002457,0.001698,0.001254,0.001647,0.002038,0.000702,0.008741,0.004290,0.000660,0.000734,0.003092,0.001260,0.000692,0.002121,0.004133,0.001521,0.001088,0.000504,0.001779,0.004715,0.001935,0.001813,0.001718,0.001986,0.000773,0.000951,0.006198,0.002296,0.000941,0.002302,0.001179,0.006610,0.004142,0.000592,0.000627,0.002436,0.003245,0.002696,0.004244,0.001543,0.001069,0.000575,0.002024,0.001717,0.001742,0.001394,0.009126,0.003254,0.007019,0.000817,0.005711,0.003734,0.000816,0.000532,0.004213,0.008902,0.001108,0.004265,0.001433,0.000932
TT Thickness,,N/A,0.002210,0.002722,0.001302,0.004052,0.003696,0.001670,0.003811,0.000749,0.001753,0.008024,0.001099,0.000577,0.009662,0.002677,0.000803,0.007590,0.001898,0.001759,0.001196,0.000717,0.000573,0.001646,0.001922,0.001796,0.000791,0.002834,0.001846,0.003653,0.006313,0.002153,0.007680,0.006713,0.000761,0.001242,0.007101,0.001143,0.001019,0.001682,0.003758,0.000959,0.002914,0.006299,0.004338,0.002927,0.000893,0.001015,0.001209,0.004930,0.001510,0.000748,0.002045,0.004197,0.004330,0.004381,0.001966,0.000807,0.000539,0.000906,0.004908,0.009697,0.000759,0.003647,0.009529,0.000976,0.000910,0.003571,0.000701,0.006086,0.000722,0.004219,0.003194,0.003163,0.001339,0.001986,0.005486,0.001636,0.002724,0.003175,0.007719,0.003242,0.004050,0.000511,0.003048,0.009920,0.002137,0.004005,0.003876,0.003764,0.002718,0.002103,0.008268,0.001017,0.000702,0.008974,0.000690,0.001780,0.008773,0.003270,0.005686,0.000784,0.001588,0.006669,0.009086,0.002330,0.003747,0.001191,0.000530,0.001572,0.005028,0.001649,0.000565,0.001361,0.003266,0.004823,0.000540,0.001530,0.001004,0.002111,0.004305,0.000815,0.001040,0.000827,0.002573,0.002943,0.006993,0.002228,0.005277,0.003455,0.003025,0.001480,0.000986,0.000529,0.004677,0.000878,0.000729,0.001918,0.000726,0.008690,0.004316,0.000562,0.003038
BB Thickness,,m,0.002262,0.004767,0.002228,0.005359,0.00061768,0.00056166,0.007861,0.002528,0.008036,0.00057077,0.003455,0.00063416,0.001466,0.008427,0.00087779,0.009166,0.00098568,0.001027,0.002775,0.003862,0.00058772,0.00718,0.00093991,0.00069183,0.009295,0.002153,0.001292,0.001148,0.007624,0.002834,0.00054627,0.00068629,0.00064587,0.001,0.00056372,0.002008,0.003435,0.00081558,0.00052626,0.007651,0.00094198,0.004331,0.002039,0.00764,0.006831,0.002842,0.00053071,0.001639,0.001254,0.001736,0.002045,0.001331,0.001059,0.004679,0.003368,0.005246,0.00053873,0.004421,0.001125,0.005402,0.00077829,0.007524,0.00085529,0.002445,0.001357,0.003571,0.00135,0.008633,0.002272,0.002007,0.002401,0.007833,0.003756,0.001106,0.006033,0.001596,0.002724,0.00133,0.002033,0.00073782,0.00098856,0.00127,0.00119,0.0008891,0.001957,0.00324,0.00088715,0.007248,0.003283,0.008514,0.003979,0.005003,0.001203,0.00094336,0.00093068,0.003428,0.001784,0.00096393,0.00061184,0.001377,0.002521,0.001757,0.00098208,0.00136,0.004992,0.004029,0.006567,0.002233,0.004097,0.00053637,0.003348,0.00193,0.001062,0.00185,0.00742,0.001297,0.009705,0.004616,0.00581,0.002935,0.005599,0.00068253,0.004955,0.008399,0.002683,0.001302,0.00139,0.001099,0.00429,0.00092154,0.001898,0.00084534,0.00089693,0.008353,0.001551,0.006476,0.001301,0.006562,0.00055108,0.00074433,0.00051372
HT Thickness,,m,0.005636,0.004005,0.00092762,0.001534,0.005296,0.007086,0.003745,0.002413,0.004354,0.007816,0.001086,0.00060251,0.002844,0.00058643,0.00087012,0.008214,0.004619,0.001759,0.003069,0.00057412,0.001864,0.002989,0.0008622,0.001242,0.00789,0.005753,0.006401,0.002308,0.007861,0.00186,0.00081917,0.008166,0.00088845,0.001124,0.001438,0.004809,0.007361,0.00162,0.00078572,0.001572,0.001119,0.001283,0.0007176,0.00054268,0.00054947,0.00084164,0.004975,0.00094129,0.001234,0.003126,0.003682,0.001172,0.001049,0.00936,0.003613,0.002764,0.003276,0.002521,0.003965,0.004091,0.009153,0.001786,0.00055635,0.00091215,0.00050552,0.00054907,0.001034,0.001945,0.00070718,0.001042,0.002614,0.00754,0.004303,0.004067,0.00079323,0.008323,0.00056289,0.003869,0.00065538,0.00068779,0.00056372,0.001627,0.005793,0.002408,0.001736,0.00063788,0.00071865,0.001015,0.004923,0.003338,0.00082942,0.002942,0.006958,0.002901,0.002837,0.002146,0.001243,0.001152,0.001206,0.002865,0.006429,0.005949,0.00054149,0.003388,0.004427,0.00070977,0.00062954,0.002213,0.001131,0.001898,0.00059246,0.008696,0.002781,0.001375,0.004434,0.002762,0.001813,0.005106,0.003606,0.00437,0.009007,0.005306,0.00091884,0.003265,0.004851,0.00069742,0.00072392,0.004894,0.003133,0.00060472,0.002893,0.001136,0.006453,0.00071341,0.009627,0.003413,0.005624,0.007913,0.00076139,0.001649,0.005566
ST Thickness,,m,0.00084658,0.001025,0.003188,0.00072128,0.00095376,0.001122,0.001641,0.00916,0.00097921,0.009934,0.001381,0.004536,0.003879,0.003682,0.001263,0.008262,0.00089759,0.003388,0.001548,0.002324,0.004952,0.00082037,0.0006105,0.001171,0.0009055,0.003398,0.003566,0.00064823,0.001919,0.0033,0.00058003,0.001578,0.007925,0.001904,0.005653,0.00070151,0.003302,0.00072658,0.001762,0.005694,0.001229,0.00090286,0.002789,0.008792,0.005289,0.00065061,0.001248,0.002123,0.00067533,0.00609,0.002226,0.004424,0.00071996,0.00956,0.002927,0.004164,0.003997,0.001524,0.00073944,0.002983,0.001466,0.002903,0.00052473,0.00083063,0.001297,0.00066213,0.00050663,0.008059,0.00939,0.002282,0.004365,0.00064587,0.006006,0.004415,0.0007886,0.008372,0.002162,0.001091,0.00064776,0.00072924,0.006816,0.002644,0.001023,0.00068428,0.002585,0.001037,0.004566,0.001141,0.005374,0.007485,0.005719,0.001383,0.005636,0.003076,0.001505,0.00053952,0.003007,0.004264,0.00087939,0.00275,0.001264,0.002051,0.004322,0.002121,0.00069691,0.00099074,0.001712,0.008113,0.001286,0.001649,0.001547,0.001802,0.002948,0.00098496,0.003121,0.00623,0.001933,0.00171,0.00066723,0.006135,0.00063602,0.001395,0.002134,0.00074569,0.001959,0.004303,0.00084287,0.001154,0.003501,0.001073,0.002514,0.003618,0.003789,0.003939,0.002952,0.0007197,0.001543,0.00869,0.002468,0.004408,0.003674
DT Thickness,,m,0.0006245,0.009634,0.003647,0.003522,0.00060075,0.007781,0.008595,0.00050885,0.001687,0.00056166,0.0009664,0.00102,0.0006665,0.004992,0.00093751,0.00085842,0.00773,0.00178,0.00079905,0.00082518,0.00069742,0.008083,0.005607,0.004715,0.002178,0.004883,0.001431,0.003278,0.002328,0.002269,0.00447,0.003435,0.00062541,0.00235,0.00354,0.003465,0.001872,0.001282,0.00057286,0.001303,0.00076979,0.005941,0.00062358,0.00056869,0.008202,0.00355,0.004445,0.002373,0.005715,0.006688,0.008256,0.006703,0.001131,0.005751,0.002728,0.00052473,0.001721,0.002935,0.001057,0.00086283,0.004981,0.00108,0.003071,0.001474,0.001853,0.0014,0.001059,0.003069,0.004139,0.002987,0.005424,0.0009175,0.00092898,0.001233,0.003547,0.004222,0.003747,0.001048,0.001292,0.002642,0.00065634,0.00067632,0.00072472,0.001112,0.001491,0.00056084,0.00075309,0.006225,0.00212,0.001838,0.001506,0.009047,0.00055553,0.002323,0.00056682,0.00065826,0.00055431,0.00058707,0.001036,0.004316,0.00079149,0.001255,0.003563,0.001955,0.001798,0.002791,0.004392,0.001711,0.007529,0.00557,0.006373,0.00068629,0.001681,0.00151,0.004182,0.002998,0.001792,0.002002,0.006656,0.00186,0.00083734,0.00134,0.007913,0.007439,0.000519,0.00066553,0.001741,0.008483,0.005825,0.006978,0.00061723,0.00054987,0.001584,0.001884,0.0005411,0.00094198,0.004718,0.002343,0.009207,0.002289,0.003365
DT Length,,N/A,0.636837,0.658283,0.652925,0.680537,0.647023,0.651833,0.646229,0.609516,0.664205,0.514033,0.628579,0.640092,0.612811,0.508413,0.631192,0.689351,0.688140,0.652772,0.576750,0.667183,0.653774,0.633046,0.634940,0.625391,0.492543,0.674287,0.632020,0.653639,0.636946,0.651891,0.651891,0.618020,0.654471,0.658926,0.653639,0.646703,0.705509,0.697956,0.653639,0.676571,0.646579,0.678960,0.642476,0.644727,0.653639,0.655233,0.696181,0.643564,0.652729,0.662567,0.614324,0.386829,0.742841,0.740129,0.692973,0.743238,0.743238,0.676585,0.694307,0.733201,0.718081,0.651007,0.674932,0.663680,0.653455,0.353156,0.653639,0.658456,0.703217,0.684311,0.671895,0.670758,0.658941,0.649493,0.718603,0.617624,0.703316,0.644896,0.641825,0.674513,0.627504,0.620754,0.650642,0.573242,0.653814,0.653814,0.653639,0.704949,0.657561,0.663998,0.628608,0.690818,0.669203,0.641195,0.585529,0.695342,0.700783,0.640752,0.605575,0.648368,0.671949,0.631381,0.662501,0.648869,0.638791,0.651338,0.636954,0.709746,0.674349,0.632236,0.622738,0.623029,0.654851,0.658494,0.644968,0.643494,0.660625,0.678851,0.641662,0.622264,0.569728,0.690033,0.662237,0.616411,0.620754,0.618893,0.663059,0.606405,0.620312,0.597926,0.679268,0.676655,0.628815,0.582414,0.629954,0.641498,0.565888,0.595600,0.596146,0.674755,0.596694
